qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,False,True
4367,Abstain,True
4368,Abstain,True
4501,Abstain,True
4510,False,True
4645,False,True
4891,False,True
4939,True,True
4957,Abstain,True
4971,True,True
4999,True,True
5052,True,True
5124,False,True
5155,Abstain,True
5156,True,True
5165,False,True
5186,Abstain,True
5220,True,True
5244,False,True
5251,False,True
5273,Abstain,True
5319,True,True
5325,True,True
5327,True,True
5341,True,True
5374,False,True
5385,True,True
5422,False,True
5485,False,True
5540,False,True
5589,False,True
5593,False,True
5663,Abstain,False
5740,False,False
5788,False,False
5825,False,False
5913,Abstain,False
5924,False,False
5944,False,False
5946,False,False
6353,Abstain,False
6360,True,False
6378,False,False
6417,False,False
6432,True,False
6434,False,False
6438,False,False
6440,False,False
6485,False,False
6514,Abstain,False
6563,False,False
6666,False,False
6697,False,False
6761,True,False
6771,Abstain,False
6803,False,False
6811,True,False
6815,False,False
6842,False,False
6848,False,False
6857,False,False
6914,Abstain,False
6928,False,False
6960,Abstain,False
6985,True,False
6988,False,False
6992,True,False
7055,True,False
7062,False,False
10143,False,False
10182,Abstain,False
10206,False,False
11786,Abstain,True
11869,Abstain,True
11897,True,True
11925,False,True
11962,Abstain,True
11968,True,True
12733,Abstain,True
12741,Abstain,True
12784,True,True
12787,False,True
12799,True,True
12803,True,True
12807,False,True
12815,True,True
12817,True,True
12868,Abstain,False
12892,Abstain,False
12895,Abstain,False
12901,False,False
12924,False,False
12926,False,False
12938,Abstain,False
12942,Abstain,False
12972,False,False
12989,False,False
