qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,Abstain,True
4367,True,True
4368,Abstain,True
4501,True,True
4510,Abstain,True
4645,True,True
4891,True,True
4939,Abstain,True
4957,True,True
4971,Abstain,True
4999,True,True
5052,False,True
5124,Abstain,True
5155,True,True
5156,Abstain,True
5165,False,True
5186,Abstain,True
5220,Abstain,True
5244,Abstain,True
5251,True,True
5273,True,True
5319,False,True
5325,Abstain,True
5327,False,True
5341,True,True
5374,Abstain,True
5385,Abstain,True
5422,Abstain,True
5485,Abstain,True
5540,Abstain,True
5589,Abstain,True
5593,False,True
5663,Abstain,False
5740,Abstain,False
5788,Abstain,False
5825,Abstain,False
5913,False,False
5924,Abstain,False
5944,False,False
5946,False,False
6353,False,False
6360,Abstain,False
6378,False,False
6417,False,False
6432,Abstain,False
6434,False,False
6438,Abstain,False
6440,Abstain,False
6485,True,False
6514,Abstain,False
6563,True,False
6666,Abstain,False
6697,False,False
6761,Abstain,False
6771,Abstain,False
6803,False,False
6811,False,False
6815,Abstain,False
6842,Abstain,False
6848,Abstain,False
6857,False,False
6914,Abstain,False
6928,Abstain,False
6960,False,False
6985,False,False
6988,Abstain,False
6992,False,False
7055,False,False
7062,False,False
10143,Abstain,False
10182,Abstain,False
10206,Abstain,False
11786,Abstain,True
11869,Abstain,True
11897,Abstain,True
11925,True,True
11962,False,True
11968,Abstain,True
12733,True,True
12741,True,True
12784,True,True
12787,Abstain,True
12799,Abstain,True
12803,True,True
12807,Abstain,True
12815,True,True
12817,True,True
12868,Abstain,False
12892,Abstain,False
12895,Abstain,False
12901,False,False
12924,True,False
12926,False,False
12938,False,False
12942,Abstain,False
12972,False,False
12989,Abstain,False
