0,"'Rome Prize', 'Nobel Prize', 'Pulitzer Prize', 'Grammy Award', 'Oscar Award'",['Rome Prize']
10,"'Leeds United F.C.', 'Darlington F.C.', 'Burnley F.C.', 'England national under-21 football team'",['Burnley F.C.']
20,"'Germany national under-21 football team', 'Germany national football team'",['Germany national under-21 football team']
30,"'Port Vale F.C.', 'Newcastle United F.C.', 'Liverpool F.C.', 'Arsenal F.C.', 'Chelsea F.C.', 'Manchester City F.C.', 'Everton F.C.', 'Tottenham Hotspur F.C.', 'Manchester United F.C.', 'West Ham United F.C.', 'Leeds United F.C.', 'Wolverhampton Wanderers F.C.'",['Port Vale F.C.']
40,"'Jubilee Medal ""30 Years of the Soviet Army and Navy""', 'Order of the Kutuzov, 1st class', 'Medal ""For the Capture of Berlin""', 'Hero of the Soviet Union', 'Order of Lenin', 'Order of Suvorov, 1st class', 'Medal ""For the Liberation of Warsaw""'","['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
50,"'Charles Stuart, 1st Baron Stuart de Rothesay', 'Arthur Wellesley, 1st Duke of Wellington', 'Charles Stuart, 1st Baron Stuart de Rothesay', 'Henry Wellesley, 1st Baron Cowley', 'Granville Leveson-Gower, 1st Earl Granville', 'Granville Leveson-Gower, 1st Earl Granville', 'Granville Leveson-Gower, 1st Earl Granville', 'Granville Leveson-Gower, 1st Earl Granville', 'Henry Wellesley, 1st Earl Cowley', 'Robert Crewe-Milnes, 1st Marquess of Crewe', 'Charles Hardinge, 1st Baron Hardinge of Penshurst', 'William Tyrrell, 1st Baron Tyrrell', 'Christopher Soames', 'Arthur Wellesley, 1st Duke of Wellington', 'Duff Cooper', 'John Holmes', 'Edward Stanley, 17th Earl of Derby', 'Nicholas Henderson', 'John Holmes'","['Charles Stuart, 1st Baron Stuart de Rothesay']"
60,"'Wilhelmi Malmivaara', 'Kalervo Kummola', 'Antti Tulenheimo', 'Jussi Saukkonen', 'Pehr Evind Svinhufvud'","['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
70,"'ACF Fiorentina', 'Brescia Calcio', 'Vicenza Calcio', 'Juventus F.C.', 'Italy national football team', 'A.C. Milan', 'Bologna F.C. 1909'","['Italy national football team', 'Brescia Calcio']"
80,"'Theatre World Award', 'Primetime Emmy Award', 'Tony Award for Best Featured Actor in a Play'","['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
90,"'A.C. Perugia Calcio', 'Juventus F.C.', 'A.S. Roma'","['Juventus F.C.', 'Italy national under-21 football team', 'A.C. Perugia Calcio']"
