qid,prediction,gt_label
WebQTest-31,"['Dunblane', 'London']",[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['The Virgin and Child with St Anne and St John the Baptist', 'Sala delle Asse', 'Madonna of Laroque', ""Leonardo's horse"", 'Annunciation', 'Leda and the Swan', 'La belle ferronnière', 'Virgin of the Rocks', 'Head of a Woman', 'Madonna of the Carnation', 'Medusa', 'Adoration of the Magi', 'Benois Madonna', 'Lucan portrait of Leonardo da Vinci', 'Horse and Rider', 'Bacchus', 'Virgin of the Rocks', 'Madonna and Child with St Joseph', 'St. John the Baptist', ""Ginevra de' Benci"", 'The Battle of Anghiari', 'Vitruvian Man', 'The Last Supper', 'Mona Lisa', 'Salvator Mundi']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Induction motor', 'Neon lamp', 'Alternating current', 'Wireless telegraphy', 'Tesla coil', 'Three-phase electric power']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Presidential Reunion', 'In the Heart of the Sea', 'The Missing', 'The Dark Tower', 'Rush', 'Night Shift', 'Willow', 'Apollo 13', 'The Lost Symbol', 'A Beautiful Mind', 'Splash', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Dilemma', 'Inferno', 'Frost/Nixon', 'The Da Vinci Code', 'Jay-Z: Made in America', 'Far and Away', 'Parenthood', 'Cocoon', 'Cotton Candy', 'EDtv', 'Ransom', 'Angels & Demons', 'Grand Theft Auto', 'The Paper', 'Backdraft', 'Gung Ho', 'Cinderella Man']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
