qid,correct,wrong,prediction,gt_label
20,0.25,0,"['ulrich_thomsen', 'mads_mikkelsen', 'nikolaj_lie_kaas', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,0.25,0,"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0.5,0.5,"['1958', '1956', '1959']","['1956', '1958']"
80,0.3333333333333333,0,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.07692307692307693,0,"['2006', '2003', '1999', '1999', '2005', '2011', '2000', '2003', '2002', '2009', '2004', '2009', '2007', '2001', '1986', '1999', '2004', '2008', '2007']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,0.25,0.25,"['thriller', 'drama', 'comedy', 'action', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.02040816326530612,0,"['Richard Donner', 'Roland Emmerich', 'Dean Semler', 'Nick Park', 'Peter Lord', 'Wim Wenders', 'Steve Miner', 'Brian Helgeland', 'Roger Donaldson', 'Robert Towne', 'Robert Rodriguez', 'George Miller', 'Lewis Milestone', 'Martin Campbell', 'Mel Gibson', 'Tony Richardson', 'Michael Almereyda', 'Kenneth Branagh', 'John Gielgud', 'Grigori Kozintsev', 'Franco Zeffirelli', 'Tim Burstall', 'John Badham', 'Jodie Foster', 'Nancy Meyers', 'Roger Spottiswoode', 'Peter Weir', 'Adrian Grunberg', 'Ron Howard', 'Mark Rydell', 'Jean Renoir', 'Jarmo Lampela', 'Randall Wallace', 'M. Night Shyamalan', 'Luis Mandoki', 'Gillies Mackinnon', 'Barry Levinson', 'Jeff Stanzler', 'Pen Densham', 'Anthony Minghella', 'Sean Penn', 'Graham Baker', 'Robert Zemeckis', 'Robert Redford', 'Nick Cassavetes', 'Phil Joanou']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.08333333333333333,0,"['stephen_herek', 'john_landis', 'george_roy_hill', 'michael_ritchie', 'william_friedkin', 'peter_hewitt', 'stephen_kessler', 'john_carpenter', 'jay_sandrich', 'harold_ramis', 'ken_shapiro']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,0.5,0.5,"['1955', '1951', '1954']","['1955', '1954']"
200,0.16666666666666666,0.3333333333333333,"['alain_delon', 'terence_stamp', 'brigitte_bardot', 'jane_fonda', 'angie_dickinson', 'rock_hudson', 'vincent_spano', 'rebecca_de_mornay']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.16666666666666666,0.3333333333333333,"['boxing', 'biographical?', 'thriller', 'crime', 'adventure', 'horror', 'drama', 'action']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
