qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,Abstain,True
4367,True,True
4368,False,True
4501,Abstain,True
4510,False,True
4645,False,True
4891,True,True
4939,False,True
4957,Abstain,True
4971,Abstain,True
4999,False,True
5052,Abstain,True
5124,Abstain,True
5155,Abstain,True
5156,Abstain,True
5165,False,True
5186,Abstain,True
5220,Abstain,True
5244,Abstain,True
5251,Abstain,True
5273,Abstain,True
5319,True,True
5325,Abstain,True
5327,Abstain,True
5341,Abstain,True
5374,Abstain,True
5385,Abstain,True
5422,Abstain,True
5485,False,True
5540,False,True
5589,False,True
5593,Abstain,True
5663,Abstain,False
5740,Abstain,False
5788,Abstain,False
5825,False,False
5913,Abstain,False
5924,Abstain,False
5944,Abstain,False
5946,Abstain,False
6353,Abstain,False
6360,False,False
6378,False,False
6417,Abstain,False
6432,False,False
6434,False,False
6438,False,False
6440,False,False
6485,False,False
6514,Abstain,False
6563,False,False
6666,Abstain,False
6697,Abstain,False
6761,Abstain,False
6771,Abstain,False
6803,Abstain,False
6811,True,False
6815,Abstain,False
6842,Abstain,False
6848,Abstain,False
6857,Abstain,False
6914,Abstain,False
6928,Abstain,False
6960,Abstain,False
6985,False,False
6988,Abstain,False
6992,Abstain,False
7055,False,False
7062,Abstain,False
10143,Abstain,False
10182,Abstain,False
10206,False,False
11786,False,True
11869,Abstain,True
11897,True,True
11925,Abstain,True
11962,Abstain,True
11968,Abstain,True
12733,Abstain,True
12741,False,True
12784,True,True
12787,Abstain,True
12799,True,True
12803,Abstain,True
12807,False,True
12815,Abstain,True
12817,Abstain,True
12868,Abstain,False
12892,Abstain,False
12895,Abstain,False
12901,Abstain,False
12924,False,False
12926,Abstain,False
12938,Abstain,False
12942,Abstain,False
12972,False,False
12989,Abstain,False
