qid,prediction,gt_label
1595,False,False
1607,False,False
1631,False,False
1640,False,False
1696,Abstain,False
1743,False,False
1770,False,False
1787,False,False
1890,Abstain,False
1978,False,False
2094,False,False
2134,False,False
2184,False,False
2197,False,False
2351,True,False
2361,Abstain,False
2384,False,False
2391,False,False
2406,False,False
2414,False,False
2980,False,False
3039,False,False
3110,Abstain,False
3127,Abstain,False
3145,Abstain,False
3219,False,False
3351,False,False
3386,False,False
3392,False,False
3452,False,False
3461,Abstain,False
3504,Abstain,False
3564,False,False
3566,False,False
3578,False,False
3619,False,False
3625,False,False
3656,False,False
3744,False,False
3759,False,False
3804,False,False
3816,Abstain,False
3835,False,False
3839,False,False
3896,False,False
3907,Abstain,False
8256,True,True
8268,True,True
8271,Abstain,True
8311,True,True
8313,True,True
8353,True,True
8433,True,True
8440,True,True
8607,True,True
8662,True,True
8725,True,True
8740,True,True
8756,False,True
8763,True,True
8815,True,True
8862,Abstain,True
8988,Abstain,True
9078,True,True
9094,Abstain,True
9099,True,True
9112,True,True
9147,True,True
9161,Abstain,True
9299,True,True
9321,True,True
9388,True,True
9443,True,True
9476,True,True
9498,Abstain,True
9583,True,True
9595,True,True
9599,True,True
9657,Abstain,True
9659,True,True
9681,True,True
9701,True,True
9713,True,True
9799,True,True
9809,True,True
9822,True,True
9848,True,True
9900,False,True
9909,True,True
9950,True,True
9990,True,True
10004,True,True
10059,True,True
10074,Abstain,True
10108,Abstain,True
11541,False,False
11611,False,False
12029,False,False
12046,False,False
12117,True,True
