qid,correct,wrong,prediction,gt_label
20,1.0,0,'comedy',['Comedy']
40,0.5,0,"'graham_greene', 'joseph_l._mankiewicz'","['Joseph L. Mankiewicz', 'Graham Greene']"
60,1.0,0,'john_gilling',['John Gilling']
80,0.25,0,"'the_wrecking_crew', 'the_violent_men', 'the_big_country', 'the_silencers'","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,1.0,0,'Amistad',['Amistad']
120,1.0,0,'2012',['2012']
140,0.125,0,"'comedy', 'crime', 'horror', 'adventure', 'action', 'thriller', 'fantasy', 'drama'","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,0.03125,0,"'Love\'s Labour\'s Lost', 'The Magic Flute', 'Henry V', 'Hamlet', 'As You Like It', 'Chimes at Midnight', 'King Lear', 'Prospero\'s Books', 'Looking for Richard', 'Romeo and Juliet', 'King of Texas', 'Men of Respect', 'Private Romeo', 'Julius Caesar', 'Coriolanus', 'Macbeth', 'The Banquet', 'The Taming of the Shrew', 'Romeo + Juliet', 'Tempest', 'Haider', 'A Midsummer Night\'s Dream', 'Richard III', 'Othello', 'O', 'The Tempest', 'In Your Eyes', 'Buffy the Vampire Slayer', 'The Avengers', 'Serenity', 'Toy Story', 'The Cabin in the Woods'","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,0.5,0,"'steven_soderbergh', 'andrei_tarkovsky'","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,0.5,0,"'french', 'italian'","['French', 'Italian']"
220,0.5,0,"'documentary', 'animation'","['Animation', 'Documentary']"
240,1.0,0,'2001',['2001']
260,0.14285714285714285,0,"'1992', '2003', '2001', '1987', '1996', '2009', '2007'","['1987', '1992', '1996', '2003', '2001', '2007', '2009']"
280,0.3333333333333333,0,"'live_free_or_die', 'rick', 'tadpole'","['Live Free or Die', 'Tadpole', 'Rick']"
300,0.07142857142857142,0,"'alicia_silverstone', 'christine_lahti', 'jeff_goldblum', 'james_duval', 'anna_faris', 'angela_bettis', 'desmond_harrington', 'emmanuelle_chriqui', 'eliza_dushku', 'jennifer_lopez', 'jim_caviezel', 'donald_sutherland', 'billy_crudup', 'monica_potter'","['Christine Lahti', 'Donald Sutherland', 'Angela Bettis', 'Jeff Goldblum', 'Billy Crudup', 'Jennifer Lopez', 'Desmond Harrington', 'Eliza Dushku', 'James Duval', 'Anna Faris', 'Alicia Silverstone', 'Monica Potter', 'Emmanuelle Chriqui', 'Jim Caviezel']"
320,0.023809523809523808,0,"'no_good_deed', 'kiss_of_death', 'rules_of_engagement', 's.w.a.t.', 'deep_blue_sea', 'the_sunset_limited', 'unbreakable', 'turbo', 'hard_eight', 'loaded_weapon_1', 'unthinkable', 'black_snake_moan', 'the_long_kiss_goodnight', 'the_man', 'in_my_country', 'freedomland', 'farce_of_the_penguins', 'basic', 'resurrecting_the_champ', 'coach_carter', 'the_great_white_hype', 'sphere', 'soul_men', 'cleaner', ""the_caveman's_valentine"", 'a_time_to_kill', 'arena', 'snakes_on_a_plane', 'lakeview_terrace', ""eve's_bayou"", 'twisted', 'the_negotiator', 'jackie_brown', 'one_eight_seven', 'changing_lanes', 'shaft', 'african_cats', 'meeting_evil', 'fluke', 'dead_man_down', 'summer_in_february', ""the_devil's_double""","['The Negotiator', 'No Good Deed', 'Jackie Brown', 'Resurrecting the Champ', 'Kiss of Death', ""The Devil's Double"", 'One Eight Seven', 'Lakeview Terrace', 'The Sunset Limited', 'Changing Lanes', 'Basic', 'Unthinkable', 'Turbo', 'Black Snake Moan', ""Eve's Bayou"", 'The Man', 'Fluke', 'Deep Blue Sea', 'Arena', 'Shaft', 'The Long Kiss Goodnight', 'S.W.A.T.', 'In My Country', 'Freedomland', 'Twisted', 'The Great White Hype', 'Soul Men', 'Rules of Engagement', 'Farce of the Penguins', 'Coach Carter', ""The Caveman's Valentine"", 'Snakes on a Plane', 'Cleaner', 'Summer in February', 'Unbreakable', 'A Time to Kill', 'Loaded Weapon 1', 'African Cats', 'Sphere', 'Dead Man Down', 'Hard Eight', 'Meeting Evil']"
340,0.5,0,"'paolo_bonacelli', 'roberto_benigni'","['Roberto Benigni', 'Paolo Bonacelli']"
360,0,0,Abstain,"['Drama', 'Comedy', 'Musical']"
380,1.0,0,'comedy',['Comedy']
400,0.5,0,"'joe_johnston', 'robert_zemeckis'","['Robert Zemeckis', 'Joe Johnston']"
420,0.5,0,"'french', 'german'","['German', 'French']"
440,0.5,0,"'bruce_lee', 'john_saxon'","['John Saxon', 'Bruce Lee']"
460,1.0,0,'paul_cox',['Paul Cox']
480,1.0,0,'swedish',['Swedish']
500,1.0,0,'francesco_rosi',['Francesco Rosi']
520,1.0,0,'english',['English']
