qid,placeholder,placeholder,pred,label
20,,,"['mads_mikkelsen', 'ulrich_thomsen', 'nikolaj_lie_kaas', 'line_kruse']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['todd_field', 'rob_epstein', 'hal_hartley', 'jeffrey_friedman']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1958', '1956']","['1956', '1958']"
80,,,"['françois_girard', 'fernando_meirelles']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2004', '2006', '2011', '2003', '1986', '2009', '2008', '2000', '2002', '2007', '2001', '2005', '1999']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['action', 'drama', 'horror', 'comedy']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,"['john_carpenter', 'stephen_kessler', 'harold_ramis', 'colin_higgins', 'stephen_herek', 'jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'george_roy_hill', 'william_friedkin', 'john_landis', 'ken_shapiro']","['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1954', '1955']","['1955', '1954']"
200,,,"['alain_delon', 'brigitte_bardot', 'jane_fonda', 'terence_stamp', 'vincent_spano', 'rebecca_de_mornay']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['crime', 'adventure', 'action', 'thriller', 'drama', 'horror']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['tom_hanks', 'joan_greenwood', 'susan_harrison', 'herbert_lom', 'irma_p._hall', 'burt_lancaster', 'martin_milner', 'alec_guinness', 'claudia_cardinale', 'marlon_wayans', 'peter_sellers', 'cecil_parker', 'tony_curtis']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['greg_calderone', 'georgina_reilly', 'ellen_page', 'hugh_dillon', 'callum_keith_rennie', 'bernie_coulson', 'bruce_mcdonald']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['maria_sole_tognazzi', 'carlo_verdone', 'silvio_soldini']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
