1,"['japanese', 'german', 'polish', 'mende']","['German', 'Polish', 'Mende', 'Japanese']"
2,"['patricia_knight', 'cornel_wilde', 'jane_wyman', 'rock_hudson', 'john_gavin', 'barbara_stanwyck', 'robert_cummings', 'don_ameche', 'claudette_colbert', 'fred_macmurray', 'joan_bennett', 'boris_karloff', 'charles_coburn', 'george_sanders', 'lucille_ball', 'susan_kohner', 'rochelle_hudson', 'warren_william', 'lana_turner', 'sandra_dee']","['Sandra Dee', 'Charles Coburn', 'Cornel Wilde', 'John Gavin', 'Warren William', 'Susan Kohner', 'Joan Bennett', 'Fred MacMurray', 'Barbara Stanwyck', 'Don Ameche', 'Jane Wyman', 'Rochelle Hudson', 'Boris Karloff', 'Patricia Knight', 'Robert Cummings', 'Rock Hudson', 'Lucille Ball', 'Claudette Colbert', 'Lana Turner', 'George Sanders']"
1,Abstain,"['German', 'Polish', 'Mende', 'Japanese']"
2,Abstain,"['Sandra Dee', 'Charles Coburn', 'Cornel Wilde', 'John Gavin', 'Warren William', 'Susan Kohner', 'Joan Bennett', 'Fred MacMurray', 'Barbara Stanwyck', 'Don Ameche', 'Jane Wyman', 'Rochelle Hudson', 'Boris Karloff', 'Patricia Knight', 'Robert Cummings', 'Rock Hudson', 'Lucille Ball', 'Claudette Colbert', 'Lana Turner', 'George Sanders']"
3,Abstain,"['Polish', 'English']"
4,Abstain,"['1995', '1996', '1999', '1998', '1989', '2002', '2000', '2008', '2011', '2010']"
5,Abstain,"['John Landis', 'Atom Egoyan', 'Gary Trousdale', 'Steven Spielberg', 'Louis Leterrier', 'Alan Alda', 'Nora Ephron', 'Wolfgang Petersen', 'Allen Coulter', 'Richard Benjamin', 'Orson Welles', 'Neil Jordan', 'William Dieterle', 'Stephen Frears', 'Peter Yates', 'Markus Schleinzer', 'Wayne Wang', 'Jean Delannoy', 'Robert Zemeckis', 'Guy Jenkin', 'Christopher Hampton', 'Jack Clayton', 'Rocky Morton', 'Annabel Jankel', 'Mike Hodges', 'Kirk Wise', 'Ellen Perry', 'John Byrum', 'Abel Ferrara', 'Robert M. Young']"
6,Abstain,"['Drama', 'Western']"
7,Abstain,"['Crime', 'Drama', 'Fantasy', 'Animation', 'Western', 'War', 'Thriller']"
8,Abstain,['Gary Nelson']
9,Abstain,"['Swedish', 'German', 'French', 'English']"
10,Abstain,['Felix van Groeningen']
11,Abstain,"['2007', '2014', '2008', '2009', '2011', '2010', '2013', '2012']"
12,Abstain,"['Irving Pichel', 'Allan Dwan', 'Walter Lang', 'George B. Seitz', 'Robert Day', 'Joseph H. Lewis', 'George Waggner', 'Irving Cummings', 'Michael Curtiz', 'Roy Huggins', 'Budd Boetticher', 'Mark Sandrich', 'H. Bruce Humberstone', 'Rouben Mamoulian', 'Henry King', 'Nathan Juran', 'Charles Vidor', 'Michael Mann', 'William A. Seiter', 'Richard L. Bare', 'Sam Peckinpah', 'Maurice Tourneur', 'Ray Enright', 'Lewis Seiler', 'Garson Kanin', 'Edwin L. Marin', 'Fritz Lang', 'Clarence Brown', 'Rowland V. Lee']"
13,Abstain,"['1983', '1932', '1966', '1941', '1972', '1944', '1961', '1954', '1938', '1958']"
14,Abstain,"['Stephen King', 'Krzysztof Zanussi', 'Bruce Kimmel', 'Craig Mazin', 'Robert Zemeckis', 'Joseph Dougherty', 'Don Mancini', 'Aaron Seltzer', 'Pat Proft', 'Bob Gale', 'Bob Logan', 'Cyril Hume', 'Jason Friedberg', 'Mary Chase', 'Cid Ricketts Sumner']"
15,Abstain,"['1953', '1960', '1961', '1944', '1945', '1948', '1949', '1968', '1963', '1981', '1942', '1943', '1966', '1941', '1946', '1947', '1962', '1989', '1999', '1955', '1957', '1956', '1937', '1950', '1935', '1952', '1939', '1938', '1959', '1998', '1991', '1993', '1994', '1996', '1977', '1976', '1970', '1964', '1965', '1940']"
16,Abstain,"['Horror', 'Drama', 'Fantasy', 'Music', 'Western', 'Comedy', 'Musical', 'Thriller']"
17,Abstain,"['Catherine Breillat', 'Duilio Coletti', ""Robert Vincent O'Neill"", 'Harold Robbins', 'John Michael Hayes', 'Angela Carter', 'Richard Brooks', 'Peter Stone', 'Robert Alan Aurthur', 'Edward Anhalt', 'Harry Brown', 'Melchior Lengyel', 'Charles Perrault', 'John Paxton', 'Elizabeth Taylor', 'Alfred Hayes', 'Raymond Chandler', 'Joseph Michael Cala', 'Neil Jordan', 'John Fante', 'Ranald MacDougall', 'Guy Bolton', 'Samson Raphaelson', 'Albert Husson', 'Howard Fast', 'David Twohy', 'Joseph Petracca', 'Ernest K. Gann', 'Dalton Trumbo', 'Irwin Shaw', 'Oakley Hall', 'Nelson Algren', 'David Leland', 'Herman Wouk', ""Louis L'Amour"", 'Edward Dmytryk']"
18,Abstain,"['Mende', 'French', 'English']"
19,Abstain,"['Drama', 'Fantasy', 'Comedy', 'Musical', 'War']"
20,Abstain,"['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
21,Abstain,"['Romance', 'Comedy', 'Biography', 'Family', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Animation', 'War', 'Western', 'Music', 'Sport', 'Documentary', 'Musical', 'Thriller', 'Adventure']"
22,Abstain,"['Horror', 'Comedy']"
