qid,prediction,gt_label
7765,Abstain,False
7528,False,False
7493,False,False
6679,True,True
6980,Abstain,True
21,True,True
6709,True,True
6840,Abstain,False
6654,True,True
6826,Abstain,False
242,Abstain,False
7021,Abstain,False
116,True,True
7455,False,False
1,True,True
6657,Abstain,True
7596,Abstain,True
7789,Abstain,True
6769,Abstain,True
28,True,True
6760,Abstain,True
6730,True,True
59,True,True
6984,Abstain,True
119,True,True
6818,Abstain,False
138,Abstain,False
161,Abstain,False
7750,Abstain,False
7433,False,False
7544,False,False
7500,False,False
7674,Abstain,True
7163,True,False
268,Abstain,False
6874,Abstain,False
80,True,True
7517,False,False
6791,Abstain,False
7403,False,False
267,Abstain,False
7505,False,False
6908,Abstain,False
6664,True,True
6828,Abstain,False
6659,True,True
7710,Abstain,True
6710,True,True
320,Abstain,True
7443,False,False
7786,Abstain,True
299,Abstain,True
187,Abstain,False
6786,Abstain,True
7401,False,False
6783,Abstain,True
7723,Abstain,True
7155,False,True
70,True,True
7590,Abstain,True
266,Abstain,False
36,True,True
7672,Abstain,True
6941,Abstain,False
305,False,True
7611,Abstain,True
39,True,True
296,Abstain,True
71,True,True
7603,Abstain,True
6928,Abstain,False
282,Abstain,True
6711,True,True
7170,Abstain,False
7161,True,True
7047,Abstain,False
7664,Abstain,True
7574,Abstain,True
7711,Abstain,True
7175,Abstain,False
359,Abstain,False
89,True,True
241,Abstain,False
6997,Abstain,True
186,Abstain,False
286,Abstain,True
263,True,False
6,True,True
6943,Abstain,False
293,Abstain,True
6846,Abstain,False
218,Abstain,False
6937,Abstain,False
127,True,True
31,True,True
6638,True,True
121,True,True
7001,Abstain,True
251,Abstain,False
7598,Abstain,True
7772,Abstain,True
68,True,True
311,Abstain,True
7617,Abstain,True
7684,Abstain,True
192,Abstain,False
232,Abstain,False
6688,True,True
6637,True,True
7525,False,False
113,True,True
7457,False,False
14,True,True
7462,False,False
7151,True,False
7565,Abstain,True
6649,Abstain,True
7459,False,False
313,True,True
7023,Abstain,False
7796,Abstain,True
6736,True,True
53,True,True
165,Abstain,False
83,True,True
7571,Abstain,True
7788,Abstain,True
368,Abstain,False
33,True,True
7615,Abstain,True
6942,Abstain,False
7065,Abstain,False
6964,Abstain,True
7741,Abstain,False
7552,Abstain,True
6926,Abstain,False
6995,Abstain,True
329,Abstain,False
6778,Abstain,True
7797,Abstain,True
7435,False,False
7681,Abstain,True
122,True,True
6884,Abstain,False
6872,Abstain,False
328,Abstain,False
7548,Abstain,True
226,Abstain,False
6701,True,True
246,Abstain,False
175,Abstain,False
330,Abstain,False
7489,False,False
7782,Abstain,True
7449,False,False
6713,True,True
7025,Abstain,False
229,Abstain,False
7764,Abstain,False
7061,Abstain,False
6687,True,True
6925,Abstain,False
7717,Abstain,True
7043,Abstain,False
7698,Abstain,True
288,Abstain,True
214,Abstain,False
326,Abstain,False
198,Abstain,False
6797,Abstain,False
6723,True,True
7745,Abstain,False
7720,Abstain,True
7452,False,False
169,Abstain,False
7162,True,True
7056,Abstain,False
7779,Abstain,True
6772,Abstain,True
7431,False,False
7450,False,False
107,True,True
7780,Abstain,True
6814,Abstain,False
7661,Abstain,True
57,True,True
6822,Abstain,False
7512,False,False
7487,False,False
7499,False,False
6976,Abstain,True
18,True,True
6878,Abstain,False
7410,False,False
6909,Abstain,False
7803,Abstain,True
297,Abstain,True
290,Abstain,True
7668,Abstain,True
6777,Abstain,True
6831,Abstain,False
231,Abstain,False
182,Abstain,False
180,Abstain,False
7495,False,False
6725,True,True
294,Abstain,True
258,True,False
6900,Abstain,False
6743,True,True
6859,Abstain,False
8948,Abstain,True
222,Abstain,False
115,True,True
7463,False,False
366,Abstain,False
54,True,True
7445,False,False
6758,True,True
6699,True,True
350,Abstain,False
6987,Abstain,True
6927,Abstain,False
6931,Abstain,False
7460,False,False
6766,True,True
6981,Abstain,True
7053,Abstain,False
7751,Abstain,False
105,True,True
154,Abstain,False
6907,Abstain,False
6703,True,True
88,True,True
7564,Abstain,True
6737,True,True
6630,True,True
7726,Abstain,False
147,Abstain,False
275,Abstain,False
6681,True,True
6849,Abstain,False
7556,Abstain,True
256,Abstain,False
7434,False,False
188,Abstain,False
7507,False,False
7534,False,False
6767,True,True
6986,Abstain,True
5332,Abstain,True
7835,Abstain,False
2437,Abstain,False
5353,True,True
8083,Abstain,False
2389,Abstain,False
2479,Abstain,False
1857,Abstain,False
1431,Abstain,False
1238,Abstain,False
5326,Abstain,True
6431,Abstain,True
1947,Abstain,False
6094,Abstain,True
1339,Abstain,False
2518,Abstain,False
2130,Abstain,False
5763,Abstain,True
5516,Abstain,True
1317,Abstain,False
2397,Abstain,False
7255,Abstain,False
5203,Abstain,True
1745,Abstain,False
1194,Abstain,False
1208,Abstain,False
6272,Abstain,True
1304,Abstain,False
5561,Abstain,True
1272,Abstain,False
2236,Abstain,False
1658,Abstain,False
1482,Abstain,False
5372,Abstain,True
1967,Abstain,False
5603,Abstain,True
5402,Abstain,True
5444,Abstain,True
2406,Abstain,False
8097,Abstain,False
2510,Abstain,False
5864,Abstain,True
2166,Abstain,False
5904,Abstain,True
1958,Abstain,False
1859,Abstain,False
5966,True,True
6178,Abstain,True
2693,Abstain,False
1203,Abstain,False
2385,Abstain,False
7339,Abstain,False
2751,Abstain,False
8111,Abstain,False
5581,Abstain,True
5572,Abstain,True
8135,Abstain,False
1397,Abstain,False
9017,Abstain,False
2556,Abstain,False
1899,Abstain,False
1370,Abstain,False
1963,Abstain,False
1281,Abstain,False
7353,Abstain,True
5744,Abstain,True
2411,Abstain,False
1671,Abstain,False
6151,Abstain,True
5877,Abstain,True
7335,Abstain,True
1561,Abstain,False
2589,Abstain,False
7839,Abstain,False
1527,Abstain,False
1310,Abstain,False
5179,Abstain,True
2682,Abstain,False
1853,Abstain,False
2434,Abstain,False
1320,Abstain,False
2624,Abstain,False
5169,Abstain,True
1877,Abstain,False
2196,Abstain,False
2070,Abstain,False
2233,Abstain,False
2205,Abstain,False
2685,Abstain,False
6117,Abstain,True
2028,Abstain,False
2506,Abstain,False
1493,Abstain,False
6064,Abstain,True
6356,Abstain,True
5908,Abstain,True
6043,Abstain,True
5721,Abstain,True
1160,Abstain,False
7265,Abstain,False
2091,Abstain,False
5334,Abstain,True
7365,Abstain,True
2078,Abstain,False
2001,Abstain,False
1295,Abstain,False
2662,Abstain,False
2071,Abstain,False
1395,Abstain,False
2139,Abstain,False
7236,Abstain,False
2352,Abstain,False
1181,Abstain,False
1550,Abstain,False
6474,Abstain,True
6133,Abstain,True
2681,Abstain,False
5745,Abstain,True
1419,Abstain,False
1199,Abstain,False
6312,Abstain,True
6389,Abstain,True
1782,Abstain,False
1247,Abstain,False
1887,Abstain,False
1601,Abstain,False
2781,Abstain,False
1133,Abstain,False
1436,Abstain,False
1223,Abstain,False
6177,Abstain,True
1634,Abstain,False
5592,Abstain,True
1453,Abstain,False
2735,Abstain,False
5723,Abstain,True
5571,Abstain,True
2542,Abstain,False
1411,Abstain,False
1412,Abstain,False
8086,Abstain,False
2789,Abstain,False
2330,Abstain,False
2636,Abstain,False
1517,Abstain,False
1428,Abstain,False
6041,Abstain,True
1524,Abstain,False
7348,Abstain,True
2377,Abstain,False
2062,Abstain,False
2561,Abstain,False
1157,Abstain,False
5460,Abstain,True
8087,Abstain,False
5288,Abstain,True
1548,Abstain,False
1885,Abstain,False
6377,Abstain,True
1445,Abstain,False
2697,Abstain,False
1452,Abstain,False
6297,Abstain,True
5790,Abstain,True
1277,Abstain,False
2449,Abstain,False
1571,Abstain,False
6154,Abstain,True
2802,Abstain,False
2569,Abstain,False
5283,True,True
5870,Abstain,True
7824,Abstain,False
1849,Abstain,False
6433,Abstain,True
1628,Abstain,False
1913,Abstain,False
5295,Abstain,True
1938,Abstain,False
5885,Abstain,True
5659,Abstain,True
6059,True,True
5754,Abstain,True
2711,Abstain,False
5308,Abstain,True
5717,Abstain,True
1785,Abstain,False
2602,Abstain,False
1736,Abstain,False
2126,Abstain,False
6280,Abstain,True
1313,Abstain,False
2249,Abstain,False
2023,Abstain,False
1211,Abstain,False
5969,True,True
1694,Abstain,False
8136,Abstain,True
5335,Abstain,True
5506,Abstain,True
5954,False,True
6244,Abstain,True
6007,Abstain,True
1721,Abstain,False
5702,Abstain,True
6346,Abstain,True
5465,Abstain,True
6300,Abstain,True
2191,Abstain,False
6475,Abstain,True
2320,Abstain,False
5468,Abstain,True
6159,Abstain,True
1288,Abstain,False
5640,Abstain,True
6367,Abstain,True
5913,Abstain,True
1279,Abstain,False
2331,Abstain,False
1735,Abstain,False
2031,Abstain,False
6341,Abstain,True
6138,Abstain,True
8958,False,False
1866,Abstain,False
1422,Abstain,False
1323,Abstain,False
1368,Abstain,False
1659,Abstain,False
5785,Abstain,True
1210,Abstain,False
