qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,Abstain,True
4367,False,True
4368,True,True
4501,True,True
4510,False,True
4645,True,True
4891,True,True
4939,False,True
4957,Error,True
4971,Error,True
4999,True,True
5052,False,True
5124,False,True
5155,True,True
5156,Error,True
5165,False,True
5186,False,True
5220,Error,True
5244,False,True
5251,False,True
5273,Error,True
5319,True,True
5325,False,True
5327,True,True
5341,False,True
5374,True,True
5385,True,True
5422,False,True
5485,True,True
5540,True,True
5589,False,True
5593,Error,True
5663,True,False
5740,True,False
5788,False,False
5825,False,False
5913,False,False
5924,False,False
5944,Abstain,False
5946,False,False
6353,False,False
6360,True,False
6378,False,False
6417,False,False
6432,False,False
6434,False,False
6438,False,False
6440,False,False
6485,True,False
6514,False,False
6563,True,False
6666,Abstain,False
6697,False,False
6761,Abstain,False
6771,False,False
6803,False,False
6811,True,False
6815,False,False
6842,False,False
6848,True,False
6857,True,False
6914,Abstain,False
6928,False,False
6960,Abstain,False
6985,False,False
6988,False,False
6992,True,False
7055,True,False
7062,False,False
10143,False,False
10182,False,False
10206,False,False
11786,False,True
11869,True,True
11897,True,True
11925,False,True
11962,True,True
11968,True,True
12733,Error,True
12741,True,True
12784,True,True
12787,False,True
12799,True,True
12803,True,True
12807,True,True
12815,False,True
12817,True,True
12868,False,False
12892,Error,False
12895,Error,False
12901,False,False
12924,False,False
12926,False,False
12938,Error,False
12942,False,False
12972,False,False
12989,True,False
