qid,prediction,gt_label
3998,"['True', 'True', 'True']",True
4000,"['True', 'True', 'True']",True
4171,"['Abstain', 'Abstain', 'Abstain']",True
4185,"['Abstain', 'Abstain', 'Abstain']",True
4367,"['True', 'True', 'True']",True
4368,"['True', 'True', 'Abstain']",True
4501,"['Abstain', 'Abstain', 'Abstain']",True
4510,"['Abstain', 'Abstain', 'Abstain']",True
4645,"['False', 'False', 'False']",True
4891,"['Abstain', 'Abstain', 'Abstain']",True
4939,"['True', 'True', 'Abstain']",True
4957,"['Abstain', 'Abstain', 'Abstain']",True
4971,"['Abstain', 'Abstain', 'Abstain']",True
4999,"['True', 'True', 'True']",True
5052,"['False', 'Abstain', 'Abstain']",True
5124,"['True', 'True', 'True']",True
5155,"['Abstain', 'Abstain', 'Abstain']",True
5156,"['Abstain', 'Abstain', 'Abstain']",True
5165,"['Abstain', 'Abstain', 'False']",True
5186,"['Abstain', 'Abstain', 'Abstain']",True
5220,"['Abstain', 'Abstain', 'Abstain']",True
5244,"['Abstain', 'Abstain', 'True']",True
5251,"['Abstain', 'Abstain', 'Abstain']",True
5273,"['Abstain', 'Abstain', 'Abstain']",True
5319,"['True', 'False', 'True']",True
5325,"['Abstain', 'Abstain', 'Abstain']",True
5327,"['True', 'True', 'True']",True
5341,"['True', 'True', 'True']",True
5374,"['Abstain', 'Abstain', 'Abstain']",True
5385,"['Abstain', 'True', 'Abstain']",True
5422,"['True', 'True', 'True']",True
5485,"['Abstain', 'Abstain', 'Abstain']",True
5540,"['Abstain', 'Abstain', 'Abstain']",True
5589,"['Abstain', 'Abstain', 'Abstain']",True
5593,"['Abstain', 'Abstain', 'True']",True
5663,"['Abstain', 'Abstain', 'Abstain']",False
5740,"['False', 'False', 'False']",False
5788,"['Abstain', 'Abstain', 'False']",False
5825,"['Abstain', 'False', 'False']",False
5913,"['False', 'Abstain', 'Abstain']",False
5924,"['False', 'False', 'False']",False
5944,"['False', 'False', 'False']",False
5946,"['False', 'False', 'Abstain']",False
6353,"['Abstain', 'False', 'Abstain']",False
6360,"['Abstain', 'Abstain', 'Abstain']",False
6378,"['Abstain', 'Abstain', 'Abstain']",False
6417,"['Abstain', 'False', 'Abstain']",False
6432,"['Abstain', 'Abstain', 'Abstain']",False
6434,"['Abstain', 'Abstain', 'Abstain']",False
6438,"['Abstain', 'False', 'False']",False
6440,"['Abstain', 'False', 'Abstain']",False
6485,"['False', 'False', 'False']",False
6514,"['False', 'False', 'Abstain']",False
6563,"['Abstain', 'Abstain', 'Abstain']",False
6666,"['Abstain', 'Abstain', 'Abstain']",False
6697,"['Abstain', 'False', 'False']",False
6761,"['Abstain', 'Abstain', 'Abstain']",False
6771,"['False', 'Abstain', 'Abstain']",False
6803,"['False', 'False', 'False']",False
6811,"['False', 'False', 'False']",False
6815,"['False', 'False', 'False']",False
6842,"['Abstain', 'Abstain', 'Abstain']",False
6848,"['False', 'Abstain', 'Abstain']",False
6857,"['False', 'False', 'Abstain']",False
6914,"['Abstain', 'Abstain', 'Abstain']",False
6928,"['Abstain', 'Abstain', 'Abstain']",False
6960,"['Abstain', 'Abstain', 'Abstain']",False
6985,"['Abstain', 'Abstain', 'Abstain']",False
6988,"['Abstain', 'Abstain', 'Abstain']",False
6992,"['Abstain', 'False', 'Abstain']",False
7055,"['Abstain', 'False', 'False']",False
7062,"['False', 'Abstain', 'Abstain']",False
10143,"['Abstain', 'Abstain', 'False']",False
10182,"['Abstain', 'Abstain', 'Abstain']",False
10206,"['False', 'False', 'False']",False
11786,"['False', 'False', 'False']",True
11869,"['Abstain', 'True', 'True']",True
11897,"['True', 'True', 'True']",True
11925,"['False', 'False', 'Abstain']",True
11962,"['True', 'Abstain', 'True']",True
11968,"['True', 'True', 'True']",True
12733,"['True', 'True', 'True']",True
12741,"['Abstain', 'Abstain', 'Abstain']",True
12784,"['False', 'False', 'False']",True
12787,"['False', 'False', 'False']",True
12799,"['Abstain', 'True', 'Abstain']",True
12803,"['Abstain', 'Abstain', 'Abstain']",True
12807,"['True', 'Abstain', 'Abstain']",True
12815,"['Abstain', 'True', 'True']",True
12817,"['True', 'Abstain', 'Abstain']",True
12868,"['Abstain', 'False', 'Abstain']",False
12892,"['Abstain', 'Abstain', 'Abstain']",False
12895,"['Abstain', 'Abstain', 'Abstain']",False
12901,"['False', 'False', 'False']",False
12924,"['False', 'Abstain', 'Abstain']",False
12926,"['Abstain', 'False', 'False']",False
12938,"['Abstain', 'False', 'False']",False
12942,"['False', 'Abstain', 'False']",False
12972,"['False', 'False', 'False']",False
12989,"['False', 'Abstain', 'False']",False
