qid,correct,wrong,prediction,gt_label
20,0,1.0,"['palle_juliani', 'jens_albæk', 'lars_rønberg_rasmussen', 'paul_heerdal']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'todd_field', 'jeffrey_friedman', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,0,1.0,"['fábio_faria', 'elliot_taylor', 'david_nathanson']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9230769230769229,0,"['2003', '2001', '2000', '2007', '1986', '2009', '2006', '2008', '2011', '1999', '2004', '2002']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,0.75,0.5,"['horror', 'science_fiction', 'drama', 'adventure', 'action']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.16666666666666666,0.41666666666666663,"['harold_ramis', 'joseph_sargent', 'joe_dante', 'john_landis', 'michael_kontner', 'james_gordon', 'gregory_hill']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,0,1.0,"['1939', '1953']","['1955', '1954']"
200,0,0.8333333333333333,Error,"['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['crime', 'horror', 'thriller', 'drama', 'adventure', 'action']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['burt_lancaster', 'martin_milner', 'marlon_wayans', 'susan_harrison', 'alec_guinness', 'tom_hanks', 'irma_p._hall', 'cecil_parker', 'herbert_lom', 'peter_sellers', 'claudia_cardinale', 'joan_greenwood', 'tony_curtis']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,1.0,"['chris_rock', 'kevin_brewer']",['Chris Rock']
300,0,0.2857142857142857,"['julie_carmen', 'keir_dullea']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0,1.3333333333333333,"['luchino_visioni', 'bernardo_bertolucci', 'pier_francesco_palladino', 'giovanni_lupi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['daniel_wallace', 'leslie_bricusse', 'frederic_raphael', 'thomas_meehan', 'michael_wadleigh', 'will_gluck', 'charles_dickens', 'carol_sobieski', 'john_august', 'peter_mayle', 'bo_goldman', 'josephine_humphreys', 'whitley_strieber', 'michael_crichton', 'guy_gallo', 'ronald_harwood', 'shane_connaughton', 'alan_sillitoe', 'terence_rattigan', 'neville_smith', 'malcolm_lowry', 'harold_gray']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.5714285714285714,0.2857142857142857,"['comedy', 'biography', 'crime', 'history', 'romance', 'drama']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,0.5,0.5,"['2010', '2007']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2013', '2001', '2000', '2006', '2007', '1998', '2009', '1994', '2008', '2004']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,0.6470588235294118,0.11764705882352941,"['1977', '2001', '1992', '2007', '2006', '2009', '1983', '1991', '1979', '2002', '2005', '1973', '1995']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0,1.5,"['nathan_lack', 'nicolas_cage', 'joseph_gordon_levitt', 'alex_zane', 'tom_hanks', 'jennifer_anneriston', 'nick_knightly', 'daniel_radcliffe', 'steve_coogan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,0,1.6666666666666665,Error,"['Action', 'Drama', 'Crime']"
500,0,0.15384615384615385,"['borden_champagne', 'james_godfrey']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['gary_sinise', 'elia_kazan', 'john_ford', 'emilio_fernández', 'david_s._ward', 'lewis_milestone', 'victor_fleming']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0.6000000000000001,"['slasher', 'documentary', 'horror', 'thriller', 'western', 'comedy', 'drama', 'action']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
