qid,placeholder,placeholder,pred,label
20,,,"['ulrich_thomsen', 'mads_mikkelsen', 'line_kruse', 'nikolaj_lie_kaas']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['jeffrey_friedman', 'rob_epstein', 'hal_hartley', 'todd_field']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1958', '1956']","['1956', '1958']"
80,,,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['1986', '1999', '2011', '2003', '2007', '2000', '2005', '2004', '2002', '2001', '2008', '2009', '2006']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['drama', 'horror', 'action', 'comedy']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,Abstain,"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1955', '1954']","['1955', '1954']"
200,,,"['vincent_spano', 'rebecca_de_mornay', 'brigitte_bardot', 'terence_stamp', 'jane_fonda', 'alain_delon']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['horror', 'action', 'thriller', 'drama', 'crime', 'adventure']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
