qid,prediction,gt_label
WebQTest-31,"['London', 'Dunblane']",[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Horse and Rider', ""Leonardo's horse"", ""Portrait of Isabella d'Este"", 'Vitruvian Man', 'Salvator Mundi', 'The Holy Infants Embracing', 'The Last Supper', 'The Battle of Anghiari', 'Annunciation', 'Virgin of the Rocks', 'Madonna of the Yarnwinder', 'Madonna Litta', 'Portrait of a Young Fiancée', ""Ginevra de' Benci"", 'St. Jerome in the Wilderness', 'Portrait of a man in red chalk', 'Mona Lisa', 'Lady with an Ermine', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Head of a Woman', 'Madonna and Child with St Joseph', 'The Virgin and Child with St. Anne', 'La belle ferronnière', 'Leda and the Swan', 'Madonna of the Carnation', 'Medusa', 'The Virgin and Child with St Anne and St John the Baptist', 'Sala delle Asse', 'Adoration of the Magi', 'Benois Madonna', 'Madonna of Laroque', 'St. John the Baptist', 'Bacchus', 'Lucan portrait of Leonardo da Vinci', 'Portrait of a Musician']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,"['Salamanca', 'Spain']",['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Latvia', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Wireless telegraphy', 'Tesla coil', 'Alternating current', 'Neon lamp', 'Induction motor', 'Three-phase electric power']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,Error,"['1983 World Series', '1970 World Series', '1966 World Series']"
