qid,prediction,gt_label
WebQTest-31,['Glasgow'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Sala delle Asse', 'Lucan portrait of Leonardo da Vinci', 'The Virgin and Child with St Anne and St John the Baptist', 'Bacchus', 'St. Jerome in the Wilderness', 'Madonna of Laroque', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Madonna of the Carnation', 'Head of a Woman', 'Portrait of a man in red chalk', 'Salvator Mundi', 'Vitruvian Man', ""Leonardo's horse"", 'Virgin of the Rocks', ""Ginevra de' Benci"", 'Lady with an Ermine', 'Madonna Litta', 'Portrait of a Musician', 'La belle ferronnière', 'The Last Supper', 'Drapery for a Seated Figure', 'Adoration of the Magi', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Benois Madonna', ""Portrait of Isabella d'Este"", 'The Virgin and Child with St. Anne', 'Leda and the Swan', 'The Battle of Anghiari', 'Madonna and Child with St Joseph', 'Horse and Rider', 'Annunciation', 'Mona Lisa', 'Medusa', 'The Holy Infants Embracing']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Spanish Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Latvia', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Tesla coil', 'induction motor', 'neon lamp', 'remote control', 'three-phase electric power', 'alternating current', 'wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966', '1970', '1983']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Gung Ho', 'Grand Theft Auto', 'Night Shift', 'Presidential Reunion', 'EDtv', 'The Missing', 'Cinderella Man', 'Cocoon', 'Backdraft', 'Jay-Z: Made in America', 'Inferno', 'Apollo 13', 'A Beautiful Mind', 'Ransom', 'The Dilemma', 'Angels & Demons', 'Willow', 'Rush', 'Cotton Candy', 'The Da Vinci Code', 'In the Heart of the Sea', 'Parenthood', 'Splash', 'Frost/Nixon', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Paper', 'The Lost Symbol', 'Far and Away', 'The Dark Tower']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', ""Duke Blue Devils men's basketball"", 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Skamania County, Washington, United States of America']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Indiana', 'Nebraska', 'South Dakota', 'Illinois', 'Minnesota', 'Wisconsin', 'North Dakota', 'Michigan', 'Missouri', 'Iowa', 'Kansas', 'Ohio']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,"['Carolina Panthers']",['Carolina Panthers']
WebQTest-635,"['Kenny McCormick', 'Terrance', 'Butters Stotch', 'Jimbo Kern', 'Ichabod Jones/Carlos/Rom', 'Tweek Tweak', 'Kyle Broflovski', 'Terrance Henry Stoot', 'John McCain', 'Saddam Hussein']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Lorraine Motel'],['Memphis']
WebQTest-680,"['Manchester City F.C.', 'Atlético Madrid', 'Club Atlético Independiente', 'Argentina national football team']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Academic', 'Cinematographer', 'Film Producer', 'Scientist', 'Film Director', 'Ethnographer', 'Adventurer', 'Larvik', 'Norway']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,Abstain,"['Georgia', 'Alabama']"
WebQTest-881,"['The Killing Room', 'Ball Don\'t Lie', 'American Son', 'Goal II: Living the Dream', 'Whatever It Takes', 'Shall We Dance?', 'Weapons', 'Chiraq', 'Day of the Dead', 'Monster House', 'Underclassman', 'Love Don\'t Cost a Thing', 'The Adventures of Brer Rabbit', 'Garfield: The Movie', 'Drumline', 'Men in Black II', 'Roll Bounce', 'Bobby', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat', 'Even Money']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,['Turkey'],"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['Richard R. Reed', 'John B. Kennedy', 'J. Calvin Jones', 'Frank O. McCord', 'James R. Crowe', 'John C. Lester']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,"['French', 'Sioux language', 'English Language']","['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,"['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']","['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Edward Furlong', 'Nick Stahl', 'Christian Bale', 'Dalton Abbott', 'Michael Edwards']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,Error,['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,"['United Kingdom']",['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,"['2009-04-23-08:00', '2010-07-10-08:00']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['International Antarctic Centre', 'TranzAlpine', 'Willowbank Wildlife Reserve, Christchurch', 'Canterbury Museum, Christchurch', 'Christchurch Arts Centre', 'Cathedral Square, Christchurch', 'Air Force Museum of New Zealand', 'Lyttelton Timeball Station', 'Christchurch Botanic Gardens', 'Ferrymead Heritage Park']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,Error,['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,['London'],['Fulham']
