qid,pred,label
WebQTest-31,Abstain,[None]
WebQTest-54,Abstain,['Nazi Germany']
WebQTest-76,"['Madonna of the Carnation', 'Vitruvian Man', 'The Holy Infants Embracing', 'Madonna of Laroque', ""Leonardo's horse"", 'Horse and Rider', 'Mona Lisa', 'Annunciation', 'Adoration of the Magi', ""Portrait of Isabella d'Este"", 'La belle ferronnière', 'The Baptism of Christ', 'St. Jerome in the Wilderness', 'Portrait of a Musician', 'Drapery for a Seated Figure', 'Madonna Litta', 'Virgin of the Rocks', ""Ginevra de' Benci"", 'Sala delle Asse', 'Bacchus', 'Madonna and Child with St Joseph', 'St. John the Baptist', 'Lady with an Ermine', 'Leda and the Swan', 'The Virgin and Child with St Anne and St John the Baptist', 'The Last Supper', 'Madonna of the Yarnwinder', 'Salvator Mundi', 'The Virgin and Child with St. Anne', 'Benois Madonna']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Induction motor', 'Alternating current', 'Three-phase electric power', 'Remote control', 'Tesla coil', 'Wireless telegraphy', 'Neon lamp']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,Abstain,['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Parenthood', 'Willow', 'In the Heart of the Sea', 'Ransom', 'Cotton Candy', 'Rush', 'Presidential Reunion', 'A Beautiful Mind', 'The Dark Tower', 'Splash', 'Frost/Nixon', 'Cocoon', 'Gung Ho', 'Grand Theft Auto', 'Backdraft', 'Apollo 13', 'Cinderella Man', 'Far and Away', 'The Da Vinci Code', 'The Dilemma', 'EDtv', 'Angels & Demons', 'Jay-Z: Made in America', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Inferno', 'The Missing', 'The Paper', 'The Lost Symbol', 'Night Shift']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,Abstain,"['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,Abstain,"['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,Abstain,"['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Spanish Language', 'Bribri Language', 'Limonese Creole', 'Jamaican Creole English Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Abstain,['University of Oklahoma']
WebQTest-509,Abstain,"['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
