qid,prediction,gt_label
WebQTest-31,"['London', 'Dunblane']",[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Mona Lisa', 'St. Jerome in the Wilderness', 'Virgin of the Rocks', 'The Virgin and Child with St Anne and St John the Baptist', 'The Battle of Anghiari', 'The Holy Infants Embracing', 'Portrait of a Young Fiancée', 'Leda and the Swan', 'Madonna of the Yarnwinder', 'Benois Madonna', 'The Baptism of Christ', 'Madonna Litta', 'Lady with an Ermine', 'Ginevra de\' Benci', 'Madonna of Laroque', 'The Virgin and Child with St. Anne', 'The Last Supper', 'Annunciation', 'Madonna of the Carnation', 'Madonna and Child with St Joseph', 'Portrait of Isabella d\'Este', 'Horse and Rider', 'Medusa', 'Portrait of a Musician', 'Adoration of the Magi', 'Sala delle Asse', 'Lucan portrait of Leonardo da Vinci', 'Vitruvian Man', 'Portrait of a man in red chalk', 'Drapery for a Seated Figure', 'Salvator Mundi', ""Leonardo's horse"", 'Head of a Woman', 'St. John the Baptist', 'La belle ferronnière', 'Bacchus']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Latvia', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Wireless telegraphy', 'Tesla coil', 'Induction motor', 'Remote control', 'Three-phase electric power', 'Alternating current', 'Neon lamp']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003–04 NBA season'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
