qid,predictions,gt_label
7765,"['False', 'False', 'Abstain']",False
7528,"['False', 'False', 'False']",False
7493,"['False', 'False', 'False']",False
6679,"['True', 'True', 'True']",True
6980,"['Abstain', 'Abstain', 'Abstain']",True
21,"['True', 'True', 'True']",True
6709,"['True', 'True', 'True']",True
6840,"['Abstain', 'Abstain', 'Abstain']",False
6654,"['True', 'True', 'True']",True
6826,"['Abstain', 'Abstain', 'Abstain']",False
242,"['Abstain', 'Abstain', 'Abstain']",False
7021,"['False', 'False', 'False']",False
116,"['True', 'True', 'True']",True
7455,"['False', 'False', 'False']",False
1,"['True', 'True', 'True']",True
6657,"['Abstain', 'Abstain', 'Abstain']",True
7596,"['Abstain', 'Abstain', 'Abstain']",True
7789,"['Abstain', 'Abstain', 'Abstain']",True
6769,"['Abstain', 'Abstain', 'Abstain']",True
28,"['True', 'True', 'True']",True
6760,"['True', 'True', 'True']",True
6730,"['True', 'True', 'True']",True
59,"['True', 'True', 'True']",True
6984,"['True', 'True', 'True']",True
119,"['True', 'True', 'True']",True
6818,"['Abstain', 'Abstain', 'Abstain']",False
138,"['Abstain', 'Abstain', 'Abstain']",False
161,"['Abstain', 'Abstain', 'Abstain']",False
7750,"['False', 'False', 'False']",False
7433,"['False', 'False', 'False']",False
7544,"['False', 'False', 'False']",False
7500,"['False', 'False', 'False']",False
7674,"['Abstain', 'Abstain', 'Abstain']",True
7163,"['True', 'Abstain', 'True']",False
268,"['Abstain', 'Abstain', 'Abstain']",False
6874,"['Abstain', 'Abstain', 'Abstain']",False
80,"['True', 'True', 'True']",True
7517,"['False', 'False', 'False']",False
6791,"['Abstain', 'Abstain', 'Abstain']",False
7403,"['False', 'False', 'False']",False
267,"['Abstain', 'Abstain', 'Abstain']",False
7505,"['False', 'False', 'False']",False
6908,"['Abstain', 'Abstain', 'Abstain']",False
6664,"['True', 'True', 'True']",True
6828,"['Abstain', 'Abstain', 'Abstain']",False
6659,"['True', 'True', 'True']",True
7710,"['Abstain', 'Abstain', 'Abstain']",True
6710,"['True', 'True', 'True']",True
320,"['True', 'True', 'True']",True
7443,"['False', 'False', 'False']",False
7786,"['Abstain', 'Abstain', 'True']",True
299,"['True', 'True', 'True']",True
187,"['Abstain', 'Abstain', 'Abstain']",False
6786,"['Abstain', 'Abstain', 'Abstain']",True
7401,"['False', 'False', 'False']",False
6783,"['Abstain', 'Abstain', 'Abstain']",True
7723,"['Abstain', 'Abstain', 'Abstain']",True
7155,"['True', 'True', 'True']",True
70,"['True', 'True', 'True']",True
