qid,correct,wrong,prediction,gt_label
20,1.0,0,"['nikolaj_lie_kaas', 'ulrich_thomsen', 'mads_mikkelsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'rob_epstein', 'jeffrey_friedman', 'hal_hartley']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,0,Abstain,"['1956', '1958']"
80,1.0,0,"['françois_girard', 'john_maybury', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2011', '2006', '2005', '2009', '1999', '2003', '1986', '2000', '2001', '2007', '2004', '2008', '2002']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['drama', 'comedy', 'horror', 'action']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.22448979591836732,0,"['pen_densham', 'robert_redford', 'luis_mandoki', 'gillies_mackinnon', 'mel_gibson', 'barry_levinson', 'phil_joanou', 'graham_baker', 'robert_zemeckis', 'sean_penn', 'anthony_minghella']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['john_landis', 'stephen_herek', 'peter_hewitt', 'jay_sandrich', 'stephen_kessler', 'michael_ritchie', 'harold_ramis', 'william_friedkin', 'john_carpenter', 'george_roy_hill', 'colin_higgins', 'ken_shapiro']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['terence_stamp', 'brigitte_bardot', 'jane_fonda', 'alain_delon', 'rebecca_de_mornay', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0,0,Abstain,"['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tony_curtis', 'martin_milner', 'joan_greenwood', 'herbert_lom', 'marlon_wayans', 'burt_lancaster', 'cecil_parker', 'claudia_cardinale', 'tom_hanks', 'susan_harrison', 'peter_sellers', 'alec_guinness', 'irma_p._hall']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['callum_keith_rennie', 'ellen_page', 'bernie_coulson', 'georgina_reilly', 'bruce_mcdonald', 'hugh_dillon', 'greg_calderone']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0,0,Abstain,"['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0,17.82608695652168,"['neville_smith', 'carol_sobieski', 'thomas_meehan', 'will_gluck', 'harold_gray', 'michael_crichton', 'ronald_harwood', 'alan_sillitoe', 'frederic_raphael', 'shane_connaughton', 'daniel_wallace', 'john_august', 'bo_goldman', 'guy_gallo', 'malcolm_lowry', 'peter_mayle', 'charles_dickens', 'leslie_bricusse', 'kelly_masterson', 'josephine_humphreys', 'whitley_strieber', 'michael_wadleigh', 'terence_rattigan']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['drama', 'comedy', 'adventure', 'music', 'crime', 'mystery', 'biography']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0.9999999999999996,0,"['2011', '1984', '1971', '1973', '1953', '1991', '2007', '1994', '1992', '2006', '1986', '1989', '2002', '1987', '1982', '1996', '1999', '2000', '1983', '2004', '1985', '1977', '1997', '2009']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['2006', '2013', '1998', '2009', '1955', '2003', '2001', '2000', '2007', '2004', '2008', '1994']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1936', '1920', '1977', '1995', '1992', '2006', '2009', '1999', '1972', '1991', '1981', '2001', '2007', '1979', '1983', '1960', '2002']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['jason_biggs', 'chris_klein', 'hugh_grant', 'thomas_ian_nicholas', 'alyson_hannigan', 'nicholas_hoult']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['drama', 'crime', 'action']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['richard_brooks', 'thomas_t._flynn', 'horace_mccoy', 'philip_yordan', 'baynard_kendrick', 'robert_buckner', 'alf_sjöberg', 'pär_lagerkvist', 'claude_stanush', 'don_mankiewicz', 'sinclair_lewis', 'frank_burt', 'david_dortort']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['gary_sinise', 'john_ford', 'lewis_milestone', 'david_s._ward', 'elia_kazan', 'victor_fleming', 'emilio_fernández']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['horror', 'documentary', 'action', 'comedy', 'western']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['ned_beatty', 'meg_ryan', 'don_rickles', 'billy_crudup', 'kim_cattrall', 'joan_crawford', 'edward_kerr', 'william_h._macy', 'selma_blair', 'keke_palmer', 'david_morrissey', 'christian_slater', 'christopher_reeve', 'robert_loggia', 'fred_macmurray', 'colm_feore', 'michael_sheen']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,1.0,0,"['drama', 'action', 'history', 'crime', 'war']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,0,0,Abstain,['2002']
640,1.0,0,"['drama', 'horror', 'comedy', 'biography', 'romance']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0,0,Abstain,"['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['drama', 'thriller', 'action', 'comedy', 'crime']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,1.0000000000000002,0,"['2011', '1982', '1948', '1971', '1992', '2013', '2005', '2010', '1999', '1988', '1986', '1967', '1965', '1979', '1976', '1974', '2002', '1994']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,0,['paolo_sorrentino'],['Paolo Sorrentino']
740,0,2.5,Error,"['French', 'Italian']"
760,0,0,Abstain,"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
