qid,placeholder,placeholder,pred,label
20,,,"['line_kruse', 'mads_mikkelsen', 'ulrich_thomsen', 'nikolaj_lie_kaas']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['rob_epstein', 'todd_field', 'jeffrey_friedman', 'hal_hartley']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1956', '1958']","['1956', '1958']"
80,,,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2011', '1986', '2004', '2000', '2001', '2007', '2002', '2003', '1999', '2005', '2006', '2008', '2009']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['action', 'drama', 'comedy', 'horror']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,"['ken_shapiro', 'william_friedkin', 'george_roy_hill', 'stephen_kessler', 'colin_higgins', 'harold_ramis', 'john_landis', 'john_carpenter', 'peter_hewitt', 'michael_ritchie', 'jay_sandrich', 'stephen_herek']","['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1955', '1954']","['1955', '1954']"
200,,,"['brigitte_bardot', 'alain_delon', 'jane_fonda', 'vincent_spano', 'rebecca_de_mornay', 'terence_stamp']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['crime', 'action', 'horror', 'adventure', 'thriller', 'drama']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['susan_harrison', 'alec_guinness', 'marlon_wayans', 'joan_greenwood', 'herbert_lom', 'irma_p._hall', 'cecil_parker', 'peter_sellers', 'claudia_cardinale', 'burt_lancaster', 'tom_hanks', 'martin_milner', 'tony_curtis']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,Abstain,['chris_rock']
300,,,"['hugh_dillon', 'ellen_page', 'greg_calderone', 'bruce_mcdonald', 'callum_keith_rennie', 'georgina_reilly', 'bernie_coulson']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['michael_crichton', 'josephine_humphreys', 'frederic_raphael', 'ronald_harwood', 'neville_smith', 'peter_mayle', 'shane_connaughton', 'charles_dickens', 'thomas_meehan', 'whitley_strieber', 'bo_goldman', 'leslie_bricusse', 'harold_gray', 'michael_wadleigh', 'kelly_masterson', 'carol_sobieski', 'daniel_wallace', 'john_august', 'will_gluck', 'terence_rattigan', 'guy_gallo', 'alan_sillitoe', 'malcolm_lowry']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['biography', 'music', 'crime', 'mystery', 'adventure', 'drama', 'comedy']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2010', '2004']","['2010', '2004']"
400,,,"['1986', '2007', '1999', '1982', '1985', '1984', '1971', '1994', '2011', '2004', '1987', '1991', '2006', '1973', '1977', '2000', '1996', '1997', '1953', '2002', '1989', '1983', '1992', '2009']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2004', '2000', '2007', '1998', '2003', '1955', '2013', '1994', '2008', '2009']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['1920', '2001', '2007', '2002', '1981', '1999', '1991', '1936', '2006', '1979', '1995', '1983', '1992', '1972', '2009', '1977', '1960']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['nicholas_hoult', 'alyson_hannigan', 'jason_biggs', 'hugh_grant', 'thomas_ian_nicholas', 'chris_klein']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['action', 'crime', 'drama']","['action', 'drama', 'crime']"
