qid,correct,wrong,prediction,gt_label
20,1.0,0,"['line_kruse', 'ulrich_thomsen', 'nikolaj_lie_kaas', 'mads_mikkelsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'todd_field', 'jeffrey_friedman', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,0,Abstain,"['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2001', '2000', '2006', '1986', '2005', '2011', '1999', '2002', '2009', '2003', '2008', '2004', '2007']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['comedy', 'drama', 'action', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['tim_burstall', 'robert_rodriguez', 'jean_renoir', 'tony_richardson', 'wim_wenders', 'sean_penn', 'robert_zemeckis', 'luis_mandoki', 'jodie_foster', 'nick_park', 'robert_towne', 'nick_cassavetes', 'steve_miner', 'adrian_grunberg', 'franco_zeffirelli', 'george_miller', 'pen_densham', 'roger_donaldson', 'mel_gibson', 'grigori_kozintsev', 'barry_levinson', 'john_gielgud', 'kenneth_branagh', 'brian_helgeland', 'michael_almereyda', 'dean_semler', 'nancy_meyers', 'john_badham', 'robert_redford', 'laurence_olivier', 'ron_howard', 'randall_wallace', 'roland_emmerich', 'phil_joanou', 'gillies_mackinnon', 'peter_weir', 'm._night_shyamalan', 'gillian_armstrong', 'jarmo_lampela', 'lewis_milestone', 'martin_campbell', 'jeff_stanzler', 'anthony_minghella', 'mark_rydell', 'george_ogilvie', 'graham_baker', 'peter_lord', 'richard_donner', 'roger_spottiswoode']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['colin_higgins', 'peter_hewitt', 'michael_ritchie', 'stephen_kessler', 'stephen_herek', 'john_carpenter', 'william_friedkin', 'jay_sandrich', 'george_roy_hill', 'john_landis', 'ken_shapiro', 'harold_ramis']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['brigitte_bardot', 'rebecca_de_mornay', 'jane_fonda', 'terence_stamp', 'vincent_spano', 'alain_delon']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0,0,Abstain,"['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['crime', 'fantasy', 'comedy', 'drama', 'western', 'adventure', 'romance', 'horror', 'mystery', 'thriller', 'war', 'action']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['cecil_parker', 'peter_sellers', 'marlon_wayans', 'tony_curtis', 'burt_lancaster', 'martin_milner', 'joan_greenwood', 'tom_hanks', 'claudia_cardinale', 'herbert_lom', 'irma_p._hall', 'susan_harrison', 'alec_guinness']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,0,Abstain,['Chris Rock']
300,0.9999999999999998,0,"['georgina_reilly', 'hugh_dillon', 'bernie_coulson', 'ellen_page', 'greg_calderone', 'callum_keith_rennie', 'bruce_mcdonald']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0,0,Abstain,"['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,1.0,0,"['bo_goldman', 'neville_smith', 'josephine_humphreys', 'kelly_masterson', 'charles_dickens', 'leslie_bricusse', 'shane_connaughton', 'alan_sillitoe', 'carol_sobieski', 'harold_gray', 'thomas_meehan', 'will_gluck', 'frederic_raphael', 'ronald_harwood', 'malcolm_lowry', 'guy_gallo', 'michael_wadleigh', 'whitley_strieber', 'john_august', 'daniel_wallace', 'peter_mayle', 'michael_crichton', 'terence_rattigan']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['biography', 'crime', 'comedy', 'drama', 'adventure', 'music', 'mystery']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0.9583333333333329,0,"['1953', '2000', '1992', '1986', '2002', '2011', '2007', '2004', '1985', '1991', '1983', '2006', '1982', '1987', '1997', '1999', '1971', '1989', '1984', '1996', '1977', '2009', '1994']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['2013', '2001', '2000', '2006', '1955', '1994', '2009', '2003', '1998', '2008', '2004', '2007']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['2001', '1977', '2006', '1960', '1936', '1992', '1991', '1995', '1999', '2002', '1979', '1920', '1983', '2009', '1981', '1972', '2007']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['nicholas_hoult', 'jason_biggs', 'chris_klein', 'hugh_grant', 'thomas_ian_nicholas', 'alyson_hannigan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['drama', 'crime', 'action']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['richard_brooks', 'frank_burt', 'david_dortort', 'sinclair_lewis', 'thomas_t._flynn', 'pär_lagerkvist', 'baynard_kendrick', 'philip_yordan', 'robert_buckner', 'alf_sjöberg', 'claude_stanush', 'horace_mccoy', 'don_mankiewicz']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['elia_kazan', 'john_ford', 'lewis_milestone', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'david_s._ward']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['comedy', 'western', 'documentary', 'horror', 'action']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['joan_crawford', 'christian_slater', 'don_rickles', 'colm_feore', 'kim_cattrall', 'william_h._macy', 'robert_loggia', 'edward_kerr', 'billy_crudup', 'selma_blair', 'keke_palmer', 'christopher_reeve', 'ned_beatty', 'fred_macmurray', 'michael_sheen', 'david_morrissey', 'meg_ryan']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,1.0,0,"['crime', 'history', 'drama', 'war', 'action']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['biography', 'comedy', 'drama', 'romance', 'horror']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['tony_richardson', 'joseph_mcgrath', 'dennis_hopper', 'neil_armfield', 'robert_altman', 'christian_marquand']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['crime', 'comedy', 'drama', 'thriller', 'action']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,1.0000000000000002,0,"['1976', '1965', '1992', '2005', '1948', '2010', '1999', '1982', '1971', '1986', '2002', '1979', '2011', '1967', '1974', '2013', '1994', '1988']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,0,['paolo_sorrentino'],['Paolo Sorrentino']
740,1.0,0,"['italian', 'french']","['French', 'Italian']"
760,0.42857142857142855,0,"['shelly_gitlow', 'susan_seidelman', 'david_cramer']","['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,1.0,0,"['wes_craven', 'david_lynch', 'curtiss_clayton', 'carl_reiner', 'mel_brooks', 'jon_turteltaub', 'wim_wenders', 'donald_petrie', 'john_dahl', 'harold_becker', 'mike_figgis', 'don_bluth', 'gary_goldman', 'steve_miner', 'jonathan_kaplan', 'roland_emmerich', 'jake_kasdan', 'jon_amiel', 'arie_posin', 'stephen_daldry', 'david_gordon_green', 'kevin_macdonald', 'steven_spielberg', 'doug_liman', 'edward_zwick']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.9999999999999998,0,"['mystery', 'horror', 'drama', 'adventure', 'war', 'thriller', 'comedy']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"['2002', '2010', '1958', '1992', '2014', '1978', '1989', '1994', '1993', '2013', '2006', '1999', '1997']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1978', '1980', '1977', '1970']","['1977', '1970', '1980', '1978']"
900,1.0,0,"['mystery', 'horror', 'fantasy', 'animation', 'thriller', 'musical', 'comedy', 'western']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['j._lee_thompson', 'george_marshall', 'john_guillermin']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
940,1.0,0,"['2002', '1999']","['2002', '1999']"
960,1.0,0,"['jacques_tati', 'sylvain_chomet', 'neil_burger']","['Neil Burger', 'Sylvain Chomet', 'Jacques Tati']"
980,1.0,0,"['comedy', 'action', 'music', 'drama']","['Action', 'Drama', 'Comedy', 'Music']"
