qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['rob_epstein', 'todd_field', 'jeffrey_friedman', 'hal_hartley']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2008', '2001', '2009', '2005', '2007', '2003', '2004', '2002', '2006', '2011', '2000', '1986', '1999']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['drama', 'action', 'horror', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['ken_shapiro', 'jay_sandrich', 'john_carpenter', 'peter_hewitt', 'harold_ramis', 'michael_ritchie', 'colin_higgins', 'stephen_herek', 'william_friedkin', 'george_roy_hill', 'john_landis', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['vincent_spano', 'jane_fonda', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon', 'brigitte_bardot']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['adventure', 'thriller', 'horror', 'action', 'drama', 'crime']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['susan_harrison', 'burt_lancaster', 'joan_greenwood', 'martin_milner', 'herbert_lom', 'marlon_wayans', 'tom_hanks', 'cecil_parker', 'alec_guinness', 'tony_curtis', 'claudia_cardinale', 'irma_p._hall', 'peter_sellers']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,1.0,"['chris_rock', 'louis_c.k.']",['Chris Rock']
300,0.9999999999999998,0,"['callum_keith_rennie', 'georgina_reilly', 'bruce_mcdonald', 'bernie_coulson', 'hugh_dillon', 'greg_calderone', 'ellen_page']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0.6666666666666666,0,"['silvio_soldini', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9130434782608692,0,"['shane_connaughton', 'will_gluck', 'peter_mayle', 'michael_crichton', 'guy_gallo', 'leslie_bricusse', 'daniel_wallace', 'ronald_harwood', 'josephine_humphreys', 'bo_goldman', 'terence_rattigan', 'frederic_raphael', 'whitley_strieber', 'malcolm_lowry', 'harold_gray', 'neville_smith', 'thomas_meehan', 'john_august', 'alan_sillitoe', 'michael_wadleigh', 'charles_dickens']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.857142857142857,0,"['mystery', 'biography', 'adventure', 'comedy', 'drama', 'crime']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"[1955, 1994, 1998, 2000, 2003, 2004, 2007, 2008, 2009, 2013]","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['2001', '1972', '1977', '2009', '1960', '2007', '1991', '1983', '1999', '1920', '2002', '1936', '1981', '1992', '1979', '1995', '2006']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['jason_biggs', 'alyson_hannigan', 'nicholas_hoult', 'chris_klein', 'hugh_grant', 'thomas_ian_nicholas']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['drama', 'crime', 'action']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['don_mankiewicz', 'philip_yordan', 'robert_buckner', 'sinclair_lewis', 'baynard_kendrick', 'thomas_t._flynn', 'pär_lagerkvist', 'richard_brooks', 'frank_burt', 'claude_stanush', 'alf_sjöberg', 'horace_mccoy', 'david_dortort']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.857142857142857,0,"['john_ford', 'emilio_fernández', 'gary_sinise', 'david_s._ward', 'victor_fleming', 'elia_kazan']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['comedy', 'horror', 'action', 'documentary', 'western']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['keke_palmer', 'don_rickles', 'christian_slater', 'david_morrissey', 'selma_blair', 'christopher_reeve', 'ned_beatty', 'fred_macmurray', 'william_h._macy', 'michael_sheen', 'billy_crudup', 'colm_feore', 'edward_kerr', 'meg_ryan', 'joan_crawford', 'robert_loggia', 'kim_cattrall']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,1.0,0,"['war', 'drama', 'action', 'crime', 'history']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['biography', 'comedy', 'horror', 'drama', 'romance']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['robert_altman', 'tony_richardson', 'dennis_hopper', 'christian_marquand', 'neil_armfield', 'joseph_mcgrath']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['comedy', 'thriller', 'action', 'drama', 'crime']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,1.0000000000000002,0,"['1967', '1965', '1979', '2010', '2005', '1986', '1999', '1974', '2013', '1971', '2002', '1976', '1982', '1992', '1994', '2011', '1988', '1948']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,1.0,"['paolo_sorrentino', 'umberto_contarello']",['Paolo Sorrentino']
740,1.0,0,"['italian', 'french']","['French', 'Italian']"
760,0.9999999999999998,0,"['david_cramer', 'mark_r._burns', 'susan_seidelman', 'shelly_gitlow', 'barry_strugatz', 'fay_weldon', 'barbara_wilson']","['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,1.0000000000000002,0,"['steve_miner', 'mel_brooks', 'don_bluth', 'kevin_macdonald', 'donald_petrie', 'harold_becker', 'steven_spielberg', 'wim_wenders', 'doug_liman', 'jake_kasdan', 'mike_figgis', 'carl_reiner', 'stephen_daldry', 'gary_goldman', 'curtiss_clayton', 'wes_craven', 'arie_posin', 'jon_amiel', 'roland_emmerich', 'david_lynch', 'jonathan_kaplan', 'edward_zwick', 'jon_turteltaub', 'david_gordon_green', 'john_dahl']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.9999999999999998,0,"['mystery', 'adventure', 'comedy', 'war', 'thriller', 'horror', 'drama']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"[2010, 1989, 1958, 1992, 1993, 1994, 1997, 1999, 2002, 2006, 1978, 2013, 2014]","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1970', '1980', '1977', '1978']","['1977', '1970', '1980', '1978']"
900,1.0,0,"['mystery', 'animation', 'comedy', 'thriller', 'fantasy', 'horror', 'musical', 'western']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['john_guillermin', 'j._lee_thompson', 'george_marshall']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
