qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,Error,True
4367,False,True
4368,True,True
4501,Abstain,True
4510,False,True
4645,True,True
4891,Abstain,True
4939,True,True
4957,Error,True
4971,Error,True
4999,True,True
5052,False,True
5124,Abstain,True
5155,Error,True
5156,Error,True
5165,False,True
5186,True,True
5220,Error,True
5244,True,True
5251,Abstain,True
5273,Abstain,True
5319,True,True
5325,True,True
5327,True,True
5341,Insufficient,True
5374,Abstain,True
5385,True,True
5422,True,True
5485,True,True
5540,True,True
5589,Abstain,True
5593,True,True
5663,False,False
5740,True,False
5788,Abstain,False
5825,False,False
5913,False,False
5924,False,False
5944,False,False
5946,False,False
6353,Abstain,False
6360,Abstain,False
6378,Abstain,False
6417,False,False
6432,False,False
6434,Error,False
6438,False,False
6440,False,False
6485,False,False
6514,Abstain,False
6563,Insufficient,False
6666,False,False
6697,False,False
6761,False,False
6771,Abstain,False
6803,False,False
6811,True,False
6815,False,False
6842,Error,False
6848,False,False
6857,True,False
6914,True,False
6928,Abstain,False
6960,False,False
6985,False,False
6988,False,False
6992,False,False
7055,Abstain,False
7062,False,False
10143,False,False
10182,False,False
10206,False,False
11786,False,True
11869,False,True
11897,True,True
11925,True,True
11962,True,True
11968,False,True
12733,Error,True
12741,False,True
12784,True,True
12787,Abstain,True
12799,True,True
12803,True,True
12807,False,True
12815,Error,True
12817,Error,True
12868,Error,False
12892,Error,False
12895,Error,False
12901,False,False
12924,Abstain,False
12926,False,False
12938,False,False
12942,False,False
12972,False,False
12989,True,False
