qid,placeholder,placeholder,pred,label
20,,,"['nikolaj_lie_kaas', 'line_kruse', 'mads_mikkelsen', 'ulrich_thomsen']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,Abstain,"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1958', '1956']","['1956', '1958']"
80,,,"['john_maybury', 'fernando_meirelles', 'françois_girard']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2005', '1986', '1999', '2003', '2006', '2001', '2002', '2004', '2008', '2007', '2009', '2011', '2000']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['action', 'horror', 'comedy', 'drama']","['action', 'drama', 'horror', 'comedy']"
140,,,"['lewis_milestone', 'john_gielgud', 'peter_lord', 'nick_park', 'mark_rydell', 'pen_densham', 'robert_towne', 'richard_donner', 'jarmo_lampela', 'grigori_kozintsev', 'peter_weir', 'gillian_armstrong', 'roland_emmerich', 'robert_redford', 'tony_richardson', 'laurence_olivier', 'luis_mandoki', 'randall_wallace', 'gillies_mackinnon', 'michael_almereyda', 'roger_donaldson', 'george_ogilvie', 'anthony_minghella', 'nancy_meyers', 'ron_howard', 'barry_levinson', 'wim_wenders', 'robert_rodriguez', 'robert_zemeckis', 'm._night_shyamalan', 'george_miller', 'sean_penn', 'john_badham', 'steve_miner', 'kenneth_branagh', 'jodie_foster', 'adrian_grunberg', 'martin_campbell', 'mel_gibson', 'tim_burstall', 'roger_spottiswoode', 'nick_cassavetes', 'franco_zeffirelli', 'jean_renoir', 'brian_helgeland', 'phil_joanou', 'graham_baker', 'dean_semler']","['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,['modern_problems'],"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1955', '1954']","['1955', '1954']"
200,,,"['brigitte_bardot', 'rebecca_de_mornay', 'terence_stamp', 'alain_delon', 'vincent_spano', 'jane_fonda']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['crime', 'horror', 'action', 'thriller', 'adventure', 'drama']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
