qid,prediction,gt_label
16,True,True
44,Abstain,True
52,True,True
71,True,True
82,False,True
119,True,True
131,True,True
135,Abstain,True
179,Abstain,True
181,Abstain,True
189,Abstain,False
194,Abstain,False
203,Abstain,False
230,Abstain,False
236,Abstain,False
237,Abstain,False
246,Abstain,False
272,Abstain,False
284,Abstain,False
293,Abstain,False
297,Abstain,False
301,Abstain,False
308,Abstain,False
309,Abstain,False
360,True,True
365,True,True
373,Abstain,True
379,True,True
392,True,True
406,Abstain,False
426,Abstain,False
11115,Abstain,False
11125,False,False
11127,Abstain,False
11129,False,False
11164,False,False
11293,Abstain,True
11304,Abstain,True
11343,Abstain,True
