qid,placeholder,placeholder,pred,label
20,,,"['nikolaj_lie_kaas', 'mads_mikkelsen', 'line_kruse', 'ulrich_thomsen']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1958', '1956']","['1956', '1958']"
80,,,"['françois_girard', 'john_maybury', 'fernando_meirelles']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2005', '2011', '1999', '2002', '2006', '2003', '2007', '2004', '2008', '1986', '2009', '2001', '2000']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['drama', 'horror', 'comedy', 'action']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,"['john_carpenter', 'john_landis', 'peter_hewitt', 'michael_ritchie', 'jay_sandrich', 'colin_higgins', 'george_roy_hill', 'ken_shapiro', 'stephen_herek', 'stephen_kessler', 'harold_ramis', 'william_friedkin']","['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,Abstain,"['1955', '1954']"
200,,,"['brigitte_bardot', 'rebecca_de_mornay', 'vincent_spano', 'jane_fonda', 'alain_delon', 'terence_stamp']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['adventure', 'action', 'drama', 'thriller', 'crime', 'horror']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['martin_milner', 'tom_hanks', 'herbert_lom', 'cecil_parker', 'burt_lancaster', 'tony_curtis', 'susan_harrison', 'irma_p._hall', 'peter_sellers', 'joan_greenwood', 'alec_guinness', 'marlon_wayans', 'claudia_cardinale']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['callum_keith_rennie', 'greg_calderone', 'bruce_mcdonald', 'georgina_reilly', 'bernie_coulson', 'hugh_dillon', 'ellen_page']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['shane_connaughton', 'john_august', 'carol_sobieski', 'whitley_strieber', 'guy_gallo', 'michael_wadleigh', 'terence_rattigan', 'will_gluck', 'charles_dickens', 'ronald_harwood', 'michael_crichton', 'daniel_wallace', 'thomas_meehan', 'alan_sillitoe', 'peter_mayle', 'malcolm_lowry', 'frederic_raphael', 'leslie_bricusse', 'neville_smith', 'harold_gray', 'bo_goldman']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['drama', 'comedy']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2004', '2010']","['2010', '2004']"
400,,,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2009', '2013', '1994', '2003', '1955', '2007', '2008', '1998', '2004', '2000']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['1979', '1999', '2002', '2006', '1991', '2007', '1992', '1960', '1983', '1995', '2009', '1977', '2001', '1981']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['chris_klein', 'jason_biggs', 'alyson_hannigan', 'nicholas_hoult', 'thomas_ian_nicholas', 'hugh_grant']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['drama', 'crime', 'action']","['action', 'drama', 'crime']"
500,,,"['horace_mccoy', 'claude_stanush', 'pär_lagerkvist', 'sinclair_lewis', 'don_mankiewicz', 'alf_sjöberg', 'david_dortort', 'robert_buckner', 'philip_yordan', 'baynard_kendrick', 'thomas_t._flynn', 'richard_brooks', 'frank_burt']","['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
520,,,"['john_ford', 'victor_fleming', 'emilio_fernández', 'david_s._ward', 'gary_sinise', 'lewis_milestone', 'elia_kazan']","['elia_kazan', 'david_s._ward', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'lewis_milestone', 'john_ford']"
540,,,"['documentary', 'western', 'action', 'horror', 'comedy']","['action', 'horror', 'comedy', 'documentary', 'western']"
560,,,"['kim_cattrall', 'david_morrissey', 'fred_macmurray', 'billy_crudup', 'edward_kerr', 'christian_slater', 'william_h._macy', 'christopher_reeve', 'joan_crawford', 'don_rickles', 'colm_feore', 'robert_loggia', 'ned_beatty', 'michael_sheen', 'meg_ryan', 'keke_palmer', 'selma_blair']","['william_h._macy', 'christopher_reeve', 'michael_sheen', 'joan_crawford', 'colm_feore', 'ned_beatty', 'robert_loggia', 'don_rickles', 'edward_kerr', 'meg_ryan', 'selma_blair', 'david_morrissey', 'keke_palmer', 'fred_macmurray', 'kim_cattrall', 'billy_crudup', 'christian_slater']"
580,,,"['2010', '1993']","['1993', '2010']"
600,,,"['history', 'action', 'drama', 'war', 'crime']","['drama', 'action', 'crime', 'war', 'history']"
620,,,['2002'],['2002']
640,,,"['romance', 'drama', 'biography', 'horror', 'comedy']","['drama', 'romance', 'horror', 'comedy', 'biography']"
660,,,"['robert_altman', 'joseph_mcgrath', 'neil_armfield', 'christian_marquand', 'tony_richardson', 'dennis_hopper']","['tony_richardson', 'robert_altman', 'neil_armfield', 'dennis_hopper', 'joseph_mcgrath', 'christian_marquand']"
680,,,"['action', 'drama', 'thriller', 'crime', 'comedy']","['action', 'drama', 'comedy', 'thriller', 'crime']"
700,,,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,,,['paolo_sorrentino'],['paolo_sorrentino']
740,,,"['french', 'italian']","['french', 'italian']"
760,,,"['david_cramer', 'susan_seidelman', 'shelly_gitlow']","['susan_seidelman', 'barbara_wilson', 'barry_strugatz', 'fay_weldon', 'david_cramer', 'shelly_gitlow', 'mark_r._burns']"
780,,,"['jake_kasdan', 'john_dahl', 'don_bluth', 'stephen_daldry', 'edward_zwick', 'carl_reiner', 'arie_posin', 'steve_miner', 'wes_craven', 'donald_petrie', 'steven_spielberg', 'gary_goldman', 'david_lynch', 'curtiss_clayton', 'david_gordon_green', 'roland_emmerich', 'jon_amiel', 'jon_turteltaub', 'harold_becker', 'doug_liman', 'wim_wenders', 'jonathan_kaplan', 'mike_figgis', 'kevin_macdonald', 'mel_brooks']","['wes_craven', 'arie_posin', 'steven_spielberg', 'jon_turteltaub', 'mike_figgis', 'wim_wenders', 'john_dahl', 'curtiss_clayton', 'david_lynch', 'carl_reiner', 'jonathan_kaplan', 'steve_miner', 'don_bluth', 'edward_zwick', 'donald_petrie', 'david_gordon_green', 'kevin_macdonald', 'doug_liman', 'gary_goldman', 'stephen_daldry', 'roland_emmerich', 'jake_kasdan', 'mel_brooks', 'harold_becker', 'jon_amiel']"
800,,,Abstain,['1968']
820,,,"['drama', 'war', 'thriller', 'mystery', 'horror', 'comedy']","['mystery', 'horror', 'drama', 'adventure', 'comedy', 'war', 'thriller']"
840,,,['dylan_thomas'],['dylan_thomas']
860,,,"['1989', '1958', '1978', '2002', '1999', '2006', '2013', '1994', '2014', '1997', '1992', '2010', '1993']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,,,"['1970', '1978', '1977', '1980']","['1977', '1970', '1980', '1978']"
900,,,"['western', 'fantasy', 'musical', 'animation', 'thriller', 'horror', 'comedy']","['mystery', 'horror', 'fantasy', 'animation', 'western', 'comedy', 'musical', 'thriller']"
920,,,"['george_marshall', 'j._lee_thompson', 'john_guillermin']","['john_guillermin', 'george_marshall', 'j._lee_thompson']"
940,,,"['1999', '2002']","['2002', '1999']"
960,,,['jacques_tati'],"['neil_burger', 'sylvain_chomet', 'jacques_tati']"
980,,,"['drama', 'comedy', 'music', 'action']","['action', 'drama', 'comedy', 'music']"
1000,,,"['2004', '2001', '1994']","['2001', '1988', '2004', '1994']"
1020,,,['french'],['french']
