qid,prediction,gt_label
3998,Abstain,True
4000,True,True
4171,Abstain,True
4185,Abstain,True
4367,Abstain,True
4368,Abstain,True
4501,Abstain,True
4510,Abstain,True
4645,Abstain,True
4891,True,True
4939,Abstain,True
4957,Abstain,True
4971,Abstain,True
4999,True,True
5052,Abstain,True
5124,Abstain,True
5155,Abstain,True
5156,Abstain,True
5165,Abstain,True
5186,Abstain,True
5220,Abstain,True
5244,Abstain,True
5251,Abstain,True
5273,Abstain,True
5319,Abstain,True
5325,Abstain,True
5327,Abstain,True
5341,Abstain,True
5374,Abstain,True
5385,Abstain,True
5422,True,True
5485,True,True
5540,Abstain,True
5589,Abstain,True
5593,Abstain,True
5663,Abstain,False
5740,Abstain,False
5788,Abstain,False
5825,Abstain,False
5913,False,False
5924,Abstain,False
5944,Abstain,False
5946,Abstain,False
6353,Abstain,False
6360,Abstain,False
6378,Abstain,False
6417,Abstain,False
6432,Abstain,False
6434,Abstain,False
6438,Abstain,False
6440,Abstain,False
6485,True,False
6514,Abstain,False
6563,True,False
6666,Abstain,False
6697,Abstain,False
6761,Abstain,False
6771,Abstain,False
6803,Abstain,False
6811,False,False
6815,Abstain,False
6842,Abstain,False
6848,Abstain,False
6857,Abstain,False
6914,Abstain,False
6928,Abstain,False
6960,Abstain,False
6985,Abstain,False
6988,Abstain,False
6992,Abstain,False
7055,Abstain,False
7062,Abstain,False
10143,Abstain,False
10182,Abstain,False
10206,Abstain,False
11786,False,True
11869,Abstain,True
11897,Abstain,True
11925,Abstain,True
11962,Abstain,True
11968,Abstain,True
12733,True,True
12741,False,True
12784,Abstain,True
12787,Abstain,True
12799,Abstain,True
12803,Abstain,True
12807,True,True
12815,True,True
12817,True,True
12868,Abstain,False
12892,Abstain,False
12895,Abstain,False
12901,Abstain,False
12924,Abstain,False
12926,Abstain,False
12938,Abstain,False
12942,Abstain,False
12972,False,False
12989,Abstain,False
