qid,correct,wrong,prediction,gt_label
20,1.0,0,"['nikolaj_lie_kaas', 'ulrich_thomsen', 'line_kruse', 'mads_mikkelsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'hal_hartley', 'jeffrey_friedman', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['françois_girard', 'john_maybury', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['1999', '1986', '2002', '2008', '2009', '2004', '2006', '2011', '2000', '2001', '2005', '2007', '2003']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0.25,"['comedy', 'horror', 'action', 'drama', 'thriller']","['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['wim_wenders', 'richard_donner', 'pen_densham', 'john_gielgud', 'george_ogilvie', 'jean_renoir', 'steve_miner', 'robert_zemeckis', 'mel_gibson', 'nancy_meyers', 'robert_redford', 'nick_park', 'george_miller', 'adrian_grunberg', 'roger_spottiswoode', 'jarmo_lampela', 'phil_joanou', 'jodie_foster', 'anthony_minghella', 'luis_mandoki', 'barry_levinson', 'martin_campbell', 'tim_burstall', 'tony_richardson', 'kenneth_branagh', 'robert_towne', 'gillian_armstrong', 'laurence_olivier', 'john_badham', 'michael_almereyda', 'nick_cassavetes', 'lewis_milestone', 'jeff_stanzler', 'robert_rodriguez', 'sean_penn', 'm._night_shyamalan', 'peter_weir', 'roland_emmerich', 'franco_zeffirelli', 'grigori_kozintsev', 'mark_rydell', 'brian_helgeland', 'randall_wallace', 'gillies_mackinnon', 'graham_baker', 'peter_lord', 'roger_donaldson', 'dean_semler', 'ron_howard']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0,0,Abstain,"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['alain_delon', 'vincent_spano', 'rebecca_de_mornay', 'brigitte_bardot', 'terence_stamp', 'jane_fonda']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['horror', 'action', 'drama', 'adventure', 'thriller', 'crime']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['romance', 'comedy', 'war', 'action', 'horror', 'western', 'mystery', 'drama', 'fantasy', 'adventure', 'thriller', 'crime']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tony_curtis', 'alec_guinness', 'peter_sellers', 'martin_milner', 'cecil_parker', 'tom_hanks', 'joan_greenwood', 'herbert_lom', 'burt_lancaster', 'claudia_cardinale', 'susan_harrison', 'marlon_wayans', 'irma_p._hall']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,0,Abstain,['Chris Rock']
300,0.9999999999999998,0,"['hugh_dillon', 'callum_keith_rennie', 'bernie_coulson', 'greg_calderone', 'ellen_page', 'bruce_mcdonald', 'georgina_reilly']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['silvio_soldini', 'carlo_verdone', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['will_gluck', 'alan_sillitoe', 'michael_wadleigh', 'malcolm_lowry', 'whitley_strieber', 'peter_mayle', 'terence_rattigan', 'neville_smith', 'john_august', 'bo_goldman', 'daniel_wallace', 'harold_gray', 'ronald_harwood', 'frederic_raphael', 'guy_gallo', 'leslie_bricusse', 'charles_dickens', 'shane_connaughton', 'thomas_meehan', 'josephine_humphreys', 'michael_crichton', 'carol_sobieski']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['comedy', 'music', 'biography', 'mystery', 'drama', 'adventure', 'crime']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0.9999999999999996,0,"['1999', '1973', '1953', '2011', '1994', '2006', '1997', '1991', '1971', '1985', '2007', '2002', '1984', '2009', '2004', '1992', '1996', '1983', '1977', '2000', '1986', '1989', '1982', '1987']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['1998', '2013', '2008', '2009', '1955', '2004', '1994', '2006', '2000', '2001', '2003', '2007']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,0,0,Abstain,"['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['nicholas_hoult', 'chris_klein', 'alyson_hannigan', 'hugh_grant', 'thomas_ian_nicholas', 'jason_biggs']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['drama', 'action', 'crime']","['Action', 'Drama', 'Crime']"
500,0,0,Abstain,"['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['Victor Fleming', 'Emilio Fernández', 'Gary Sinise', 'Lewis Milestone', 'David S. Ward', 'John Ford', 'Elia Kazan']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,0,0,Abstain,"['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,0,0,Abstain,"['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,0,0,Abstain,"['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['romance', 'comedy', 'horror', 'drama', 'biography']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['robert_altman', 'neil_armfield', 'joseph_mcgrath', 'christian_marquand', 'tony_richardson', 'dennis_hopper']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['comedy', 'action', 'drama', 'thriller', 'crime']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,0,0,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,0,['paolo_sorrentino'],['Paolo Sorrentino']
740,1.0,0,"['french', 'italian']","['French', 'Italian']"
760,0,0,Abstain,"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,1.0000000000000002,0,"['wim_wenders', 'david_lynch', 'wes_craven', 'steven_spielberg', 'steve_miner', 'jon_amiel', 'mel_brooks', 'edward_zwick', 'stephen_daldry', 'arie_posin', 'john_dahl', 'don_bluth', 'mike_figgis', 'curtiss_clayton', 'jake_kasdan', 'roland_emmerich', 'donald_petrie', 'kevin_macdonald', 'harold_becker', 'jonathan_kaplan', 'jon_turteltaub', 'gary_goldman', 'david_gordon_green', 'doug_liman', 'carl_reiner']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.857142857142857,0,"['comedy', 'war', 'horror', 'mystery', 'drama', 'thriller']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"['1999', '2002', '1989', '2014', '1958', '2010', '1994', '1993', '2006', '1997', '1978', '2013', '1992']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1970', '1980', '1977', '1978']","['1977', '1970', '1980', '1978']"
900,1.0,0,"['musical', 'comedy', 'horror', 'mystery', 'western', 'fantasy', 'animation', 'thriller']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['john_guillermin', 'j._lee_thompson', 'george_marshall']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
940,1.0,0,"['1999', '2002']","['2002', '1999']"
960,0,0,Abstain,"['Neil Burger', 'Sylvain Chomet', 'Jacques Tati']"
980,0,0,Abstain,"['Action', 'Drama', 'Comedy', 'Music']"
1000,0,0,Abstain,"['2001', '1988', '2004', '1994']"
1020,1.0,0,['french'],['French']
