qid,prediction,gt_label,final_prediction
1,"[""['True']"", ""['True']"", ""['True']""]",True,False
1005,"[""['False']"", ""['False']"", ""['False']""]",False,False
1009,"[""['Abstain']"", ""['Abstain']"", ""['Abstain']""]",False,False
1014,"[""['False']"", ""['False']"", ""['False']""]",False,False
1024,"[""['False']"", ""['False']"", ""['False']""]",False,False
1046,"[""['False']"", ""['False']"", ""['False']""]",False,False
1047,"[""['False']"", ""['False']"", ""['False']""]",False,False
105,"[""['True']"", ""['True']"", ""['True']""]",True,False
1061,"[""['False']"", ""['False']"", ""['False']""]",False,False
1064,"[""['False']"", ""['False']"", ""['False']""]",False,False
1069,"[""['False']"", ""['False']"", ""['False']""]",False,False
107,"[""['True']"", ""['True']"", ""['True']""]",True,False
1079,"[""['False']"", ""['False']"", ""['False']""]",False,False
1106,"[""['False']"", ""['False']"", ""['False']""]",False,False
1119,"[""['False']"", ""['False']"", ""['False']""]",False,False
1122,"[""['False']"", ""['False']"", ""['False']""]",False,False
1127,"[""['False']"", ""['False']"", ""['False']""]",False,False
113,"[""['True']"", ""['True']"", ""['True']""]",True,False
1133,"[""['False']"", ""['False']"", ""['True']""]",False,Abstain
115,"[""['True']"", ""['True']"", ""['True']""]",True,False
1157,"[""['False']"", ""['False']"", ""['False']""]",False,False
116,"[""['True']"", ""['True']"", ""['True']""]",True,False
1160,"[""['False']"", ""['False']"", ""['False']""]",False,False
1181,"[""['False']"", ""['False']"", ""['False']""]",False,False
119,"[""['True']"", ""['True']"", ""['True']""]",True,False
1194,"[""['False']"", ""['False']"", ""['False']""]",False,False
1199,"[""['False']"", ""['False']"", ""['False']""]",False,False
1203,"[""['False']"", ""['False']"", ""['False']""]",False,False
1208,"[""['False']"", ""['False']"", ""['False']""]",False,False
121,"[""['True']"", ""['True']"", ""['True']""]",True,False
1210,"[""['False']"", ""['False']"", ""['False']""]",False,False
1211,"[""['False']"", ""['False']"", ""['False']""]",False,False
122,"[""['True']"", ""['True']"", ""['True']""]",True,False
1223,"[""['False']"", ""['False']"", ""['False']""]",False,False
1229,"[""['False']"", ""['False']"", ""['False']""]",False,False
1238,"[""['False']"", ""['False']"", ""['False']""]",False,False
1247,"[""['False']"", ""['False']"", ""['False']""]",False,False
127,"[""['True']"", ""['True']"", ""['True']""]",True,False
1272,"[""['False']"", ""['False']"", ""['False']""]",False,False
1277,"[""['False']"", ""['False']"", ""['False']""]",False,False
1279,"[""['False']"", ""['False']"", ""['False']""]",False,False
1281,"[""['False']"", ""['False']"", ""['False']""]",False,False
1288,"[""['Abstain']"", ""['False']"", ""['Abstain']""]",False,Abstain
1295,"[""['False']"", ""['False']"", ""['False']""]",False,False
1304,"[""['False']"", ""['False']"", ""['False']""]",False,False
1310,"[""['False']"", ""['False']"", ""['False']""]",False,False
1313,"[""['False']"", ""['False']"", ""['False']""]",False,False
1317,"[""['False']"", ""['False']"", ""['False']""]",False,False
1320,"[""['False']"", ""['False']"", ""['False']""]",False,False
1323,"[""['False']"", ""['False']"", ""['False']""]",False,False
1339,"[""['False']"", ""['False']"", ""['False']""]",False,False
1368,"[""['False']"", ""['False']"", ""['False']""]",False,False
1370,"[""['True']"", ""['False']"", ""['False']""]",False,Abstain
138,"[""['False']"", ""['Abstain']"", ""['Abstain']""]",False,Abstain
1394,"[""['False']"", ""['False']"", ""['False']""]",False,False
1395,"[""['False']"", ""['False']"", ""['False']""]",False,False
1397,"[""['False']"", ""['False']"", ""['False']""]",False,False
14,"[""['True']"", ""['True']"", ""['True']""]",True,False
1411,"[""['False']"", ""['False']"", ""['False']""]",False,False
1412,"[""['False']"", ""['False']"", ""['False']""]",False,False
1419,"[""['False']"", ""['False']"", ""['False']""]",False,False
1422,"[""['False']"", ""['False']"", ""['False']""]",False,False
1428,"[""['Abstain']"", ""['False']"", ""['False']""]",False,Abstain
1431,"[""['False']"", ""['True']"", ""['False']""]",False,Abstain
1436,"[""['False']"", ""['False']"", ""['False']""]",False,False
1445,"[""['False']"", ""['False']"", ""['False']""]",False,False
1452,"[""['False']"", ""['Abstain']"", ""['False']""]",False,Abstain
1453,"[""['False']"", ""['False']"", ""['False']""]",False,False
1455,"[""['False']"", ""['False']"", ""['False']""]",False,False
1460,"[""['False']"", ""['False']"", ""['False']""]",False,False
147,"[""['False']"", ""['False']"", ""['True']""]",False,Abstain
1482,"[""['False']"", ""['False']"", ""['False']""]",False,False
1493,"[""['False']"", ""['False']"", ""['False']""]",False,False
1517,"[""['False']"", ""['False']"", ""['False']""]",False,False
1524,"[""['False']"", ""['False']"", ""['False']""]",False,False
1527,"[""['False']"", ""['False']"", ""['False']""]",False,False
154,"[""['True']"", ""['False']"", ""['True']""]",False,Abstain
1548,"[""['True']"", ""['False']"", ""['False']""]",False,Abstain
1550,"[""['False']"", ""['False']"", ""['False']""]",False,False
1561,"[""['True']"", ""['False']"", ""['False']""]",False,Abstain
1571,"[""['False']"", ""['False']"", ""['False']""]",False,False
1601,"[""['True']"", ""['True']"", ""['True']""]",False,False
161,"[""['False']"", ""['True']"", ""['False']""]",False,Abstain
1628,"[""['False']"", ""['False']"", ""['False']""]",False,False
1634,"[""['False']"", ""['False']"", ""['False']""]",False,False
165,"[""['False']"", ""['True']"", ""['False']""]",False,Abstain
