0,'Rome Prize',['Rome Prize']
20,'Germany national under-21 football team',['Germany national under-21 football team']
40,"'Order of Kutuzov, 1st class', 'Hero of the Soviet Union'","['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
60,'Kyösti Kallio',"['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
80,"'Theatre World Award', 'Tony Award for Best Featured Actor in a Play'","['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
100,'Geoffrey Midgley',['Geoffrey Midgley']
120,'John Addison Porter Prize',['John Addison Porter Prize']
140,'Sakurai Prize',['Sakurai Prize']
160,"'Dirac Prize', 'ICTP Dirac Medal'","['ICTP Dirac Medal', 'Dirac Prize']"
180,"'Brentford F.C.', 'Millwall F.C.'","['Brentford F.C.', 'Millwall F.C.']"
200,'John Christian',['John Christian']
220,'George I of Great Britain',['George I of Great Britain']
240,'Sunderland A.F.C.',['Sunderland A.F.C.']
260,'Leyton Orient F.C.',"['Queens Park Rangers F.C.', 'Leyton Orient F.C.']"
280,'Torino Football Club',['Torino Football Club']
300,'Charlton Athletic F.C.',['Charlton Athletic F.C.']
320,'Coventry City F.C.',['Coventry City F.C.']
340,'Ernst-Jung-Preis für Medizin',['Ernst-Jung-Preis für Medizin']
360,'Barnsley F.C.',"['Sheffield Wednesday F.C.', 'Barnsley F.C.']"
380,'Calder Memorial Trophy',['Calder Memorial Trophy']
400,'Roy Romer',['Roy Romer']
420,'Bologna F.C. 1909',['Bologna F.C. 1909']
440,'Order of the Red Eagle 4th Class',['Order of the Red Eagle 4th Class']
460,'ACF Fiorentina',"['Italy national under-21 football team', 'ACF Fiorentina']"
480,"'Order of Lenin', 'Hero of the Soviet Union', 'Gold Star'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
500,'National Medal of Science',['National Medal of Science']
520,'honorary doctor of the University of Girona',['honorary doctor of the University of Girona']
540,"'Order of Lenin', 'Gold Star', 'Hero of the Soviet Union'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
560,'Padma Shri in literature & education',['Padma Shri in literature & education']
580,"'Bancroft Prize', 'Pulitzer Prize for History', 'National Book Award for Nonfiction'","['National Book Award for Nonfiction', 'Bancroft Prize', 'Pulitzer Prize for History']"
600,"""Governor General's Awards""","[""Governor General's Awards""]"
620,'Sigmund Freud Prize',['Sigmund Freud Prize']
640,'Inkpot Award',['Inkpot Award']
660,'Lord Archibald Hamilton',['Lord Archibald Hamilton']
680,'John Scott Medal',['John Scott Medal']
700,'Lucy Award',['Lucy Award']
720,'Henry Knight Storks',['Henry Knight Storks']
740,'Mülheimer Dramatikerpreis',['Mülheimer Dramatikerpreis']
760,'Grand Cross of the Order of St. Raymond of Peñafort',['Grand Cross of the Order of St. Raymond of Peñafort']
780,'York City F.C.',['York City F.C.']
800,'John Letcher',"['Henry A. Wise', 'John Letcher']"
820,'Unione Sportiva Lecce',['Unione Sportiva Lecce']
840,'Leyton Orient F.C.',['Leyton Orient F.C.']
860,'Ordem do Mérito Cultural',['Ordem do Mérito Cultural']
880,'Glenda Farrell',['Glenda Farrell']
900,'Barnsley F.C.',['Barnsley F.C.']
920,'Heinz Maier Liebnitz Medal',['Heinz Maier Liebnitz Medal']
940,'University of Southampton',['University of Southampton']
960,'York City F.C.',['York City F.C.']
980,'Knight third class of the order of St. Vladimir',['Knight third class of the order of St. Vladimir']
