qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,Abstain,True
4367,True,True
4368,Abstain,True
4501,True,True
4510,Abstain,True
4645,Abstain,True
4891,True,True
4939,Abstain,True
4957,True,True
4971,Abstain,True
4999,True,True
5052,Abstain,True
5124,Abstain,True
5155,Abstain,True
5156,Abstain,True
5165,Abstain,True
5186,Abstain,True
5220,True,True
5244,True,True
5251,True,True
5273,Abstain,True
5319,True,True
5325,Abstain,True
5327,Abstain,True
5341,True,True
5374,Abstain,True
5385,True,True
5422,Abstain,True
5485,Abstain,True
5540,Abstain,True
5589,Abstain,True
5593,Abstain,True
5663,Abstain,False
5740,False,False
5788,Abstain,False
5825,Abstain,False
5913,False,False
5924,Abstain,False
5944,False,False
5946,False,False
6353,Abstain,False
6360,Abstain,False
6378,Abstain,False
6417,False,False
6432,False,False
6434,False,False
6438,Abstain,False
6440,Abstain,False
6485,False,False
6514,Abstain,False
6563,False,False
6666,Abstain,False
6697,False,False
6761,Abstain,False
6771,Abstain,False
6803,False,False
6811,False,False
6815,Abstain,False
6842,Abstain,False
6848,Abstain,False
6857,False,False
6914,Abstain,False
6928,Abstain,False
6960,Abstain,False
6985,Abstain,False
6988,Abstain,False
6992,Abstain,False
7055,False,False
7062,False,False
10143,False,False
10182,Abstain,False
10206,False,False
11786,Abstain,True
11869,True,True
11897,True,True
11925,Abstain,True
11962,True,True
11968,True,True
12733,True,True
12741,Abstain,True
12784,False,True
12787,True,True
12799,Abstain,True
12803,Abstain,True
12807,Abstain,True
12815,True,True
12817,Abstain,True
12868,Abstain,False
12892,Abstain,False
12895,False,False
12901,Abstain,False
12924,Abstain,False
12926,False,False
12938,Abstain,False
12942,Abstain,False
12972,False,False
12989,False,False
