qid,correct,wrong,prediction,gt_label
20,1.0,0,['comedy'],['Comedy']
40,1.0,0,"['joseph_l._mankiewicz', 'graham_greene']","['Joseph L. Mankiewicz', 'Graham Greene']"
60,1.0,0,['john_gilling'],['John Gilling']
80,1.0,0,"['the_wrecking_crew', 'the_violent_men', 'the_silencers', 'the_big_country']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,1.0,0,['amistad'],['Amistad']
120,1.0,0,['2012'],['2012']
140,1.0,0,"['drama', 'adventure', 'action', 'horror', 'fantasy', 'thriller', 'crime', 'comedy']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,1.0,0,"['serenity', 'the_avengers', 'tempest', 'king_of_texas', 'coriolanus', 'the_taming_of_the_shrew', 'henry_v', ""a_midsummer_night's_dream"", 'the_magic_flute', 'macbeth', 'the_tempest', 'romeo_+_juliet', 'richard_iii', 'julius_caesar', 'haider', 'o', 'private_romeo', 'in_your_eyes', 'as_you_like_it', 'hamlet', 'toy_story', 'looking_for_richard', 'the_cabin_in_the_woods', 'king_lear', 'romeo_and_juliet', 'men_of_respect', 'the_banquet', 'chimes_at_midnight', ""prospero's_books"", 'othello', ""love's_labour's_lost"", 'buffy_the_vampire_slayer']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,1.0,0,"['steven_soderbergh', 'andrei_tarkovsky']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,1.0,0,"['french', 'italian']","['French', 'Italian']"
220,1.0,0,"['documentary', 'animation']","['Animation', 'Documentary']"
