qid,placeholder,placeholder,pred,label
20,,,"['line_kruse', 'mads_mikkelsen', 'nikolaj_lie_kaas']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['todd_field', 'jeffrey_friedman', 'rob_epstein', 'hal_hartley']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1956', '1958']","['1956', '1958']"
80,,,"['john_maybury', 'fernando_meirelles', 'françois_girard']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['1999', '2006', '2001', '2003', '2005', '2002', '2007', '2004', '2000', '2008', '2009']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['action', 'comedy', 'horror', 'drama']","['action', 'drama', 'horror', 'comedy']"
140,,,['mel_gibson'],"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,Abstain,"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1954', '1955']","['1955', '1954']"
200,,,"['alain_delon', 'rebecca_de_mornay', 'vincent_spano', 'brigitte_bardot', 'terence_stamp', 'jane_fonda']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['action', 'drama', 'thriller', 'crime', 'horror', 'adventure']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,"['romance', 'thriller', 'drama', 'comedy', 'crime', 'war', 'mystery', 'horror', 'adventure']","['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['joan_greenwood', 'claudia_cardinale', 'tom_hanks', 'peter_sellers', 'marlon_wayans', 'susan_harrison', 'irma_p._hall', 'martin_milner', 'tony_curtis', 'cecil_parker', 'herbert_lom', 'alec_guinness', 'burt_lancaster']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,Abstain,['chris_rock']
300,,,Abstain,"['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,Abstain,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['alan_sillitoe', 'will_gluck', 'carol_sobieski', 'michael_wadleigh', 'harold_gray', 'charles_dickens', 'guy_gallo', 'josephine_humphreys', 'bo_goldman', 'frederic_raphael', 'whitley_strieber', 'michael_crichton', 'john_august', 'thomas_meehan', 'terence_rattigan', 'ronald_harwood', 'leslie_bricusse', 'shane_connaughton', 'neville_smith', 'peter_mayle', 'daniel_wallace', 'malcolm_lowry']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['drama', 'biography', 'comedy', 'music', 'mystery', 'adventure']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,['2010'],"['2010', '2004']"
400,,,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['1955', '2003', '2007', '1994', '2004', '1998', '2000', '2008', '2013', '2009']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['1920', '1992', '1999', '2006', '2001', '2002', '2007', '1995', '1972', '1936', '1983', '1981', '1960', '1977', '1991', '2009', '1979']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['thomas_ian_nicholas', 'chris_klein', 'alyson_hannigan', 'jason_biggs', 'nicholas_hoult', 'hugh_grant']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['action', 'crime', 'drama']","['action', 'drama', 'crime']"
500,,,Abstain,"['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
