qid,prediction,gt_label
450,"['Abstain', 'False', 'Abstain']",False
465,"['False', 'False', 'False']",True
473,"['True', 'True', 'False']",True
474,"['Abstain', 'Abstain', 'Abstain']",True
492,"['False', 'Abstain', 'False']",False
531,"['False', 'False', 'False']",False
533,"['False', 'Abstain', 'False']",False
548,"['False', 'False', 'False']",False
553,"['False', 'False', 'Abstain']",False
555,"['True', 'True', 'True']",False
559,"['Abstain', 'True', 'Abstain']",False
612,"['True', 'True', 'Abstain']",False
643,"['False', 'False', 'Abstain']",False
644,"['True', 'False', 'False']",False
661,"['Abstain', 'Abstain', 'Abstain']",False
678,"['False', 'Abstain', 'True']",False
689,"['Abstain', 'Abstain', 'Abstain']",False
703,"['False', 'False', 'False']",False
754,"['False', 'False', 'False']",False
764,"['False', 'False', 'False']",False
780,"['False', 'False', 'Abstain']",False
796,"['False', 'False', 'False']",False
801,"['False', 'False', 'False']",False
811,"['False', 'False', 'False']",False
876,"['False', 'False', 'False']",False
936,"['False', 'False', 'False']",False
993,"['False', 'False', 'False']",False
996,"['False', 'False', 'False']",False
997,"['False', 'False', 'Abstain']",False
1016,"['False', 'False', 'False']",False
1018,"['False', 'False', 'False']",False
1043,"['False', 'False', 'False']",False
1063,"['False', 'False', 'False']",False
1066,"['False', 'False', 'False']",False
1068,"['Abstain', 'Abstain', 'Abstain']",False
1094,"['False', 'False', 'False']",False
1097,"['False', 'False', 'False']",False
1100,"['False', 'False', 'False']",False
1127,"['False', 'False', 'False']",False
1145,"['False', 'False', 'False']",False
1151,"['False', 'False', 'False']",False
1159,"['False', 'False', 'False']",False
1193,"['False', 'False', 'False']",False
1208,"['False', 'False', 'Abstain']",False
1233,"['False', 'False', 'False']",False
1246,"['False', 'False', 'False']",False
1281,"['False', 'False', 'False']",False
1294,"['False', 'False', 'False']",False
1324,"['Abstain', 'False', 'Abstain']",False
1397,"['False', 'False', 'False']",False
1484,"['False', 'False', 'False']",False
1489,"['False', 'False', 'Abstain']",False
7070,"['True', 'True', 'True']",True
7115,"['True', 'True', 'True']",True
7189,"['True', 'True', 'True']",True
7193,"['True', 'True', 'True']",True
7200,"['True', 'True', 'True']",True
7205,"['True', 'True', 'True']",True
7206,"['True', 'True', 'True']",True
7269,"['True', 'True', 'True']",True
7302,"['True', 'True', 'True']",True
7394,"['True', 'True', 'True']",True
7417,"['True', 'True', 'True']",True
7418,"['True', 'True', 'True']",True
7438,"['True', 'Abstain', 'True']",True
7448,"['True', 'True', 'True']",True
7467,"['True', 'True', 'True']",True
7468,"['True', 'True', 'True']",True
7481,"['True', 'True', 'True']",True
7489,"['Abstain', 'False', 'Abstain']",True
7517,"['True', 'True', 'True']",True
7519,"['True', 'True', 'True']",True
7520,"['True', 'True', 'True']",True
7523,"['True', 'True', 'True']",True
7591,"['True', 'True', 'True']",True
7607,"['True', 'True', 'True']",True
7631,"['True', 'True', 'True']",True
7652,"['True', 'True', 'True']",True
7659,"['True', 'True', 'True']",True
7687,"['True', 'True', 'True']",True
7827,"['True', 'True', 'True']",True
7828,"['True', 'True', 'True']",True
7845,"['True', 'True', 'True']",True
7846,"['True', 'True', 'True']",True
7847,"['False', 'True', 'True']",True
7848,"['True', 'True', 'True']",True
7924,"['True', 'True', 'True']",True
7976,"['True', 'True', 'True']",True
7980,"['True', 'True', 'True']",True
8006,"['True', 'True', 'True']",True
8056,"['True', 'True', 'True']",True
8102,"['False', 'True', 'True']",True
8128,"['True', 'True', 'True']",True
8173,"['True', 'True', 'Abstain']",True
8188,"['True', 'True', 'True']",True
8195,"['True', 'True', 'True']",True
8205,"['True', 'True', 'True']",True
8207,"['True', 'True', 'True']",True
8240,"['True', 'True', 'True']",True
12702,"['False', 'False', 'False']",False
