qid,pred,label
WebQTest-31,Abstain,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,Abstain,"[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Lithuania', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Alternating current', 'Remote control', 'Wireless telegraphy', 'Tesla coil', 'Induction motor', 'Neon lamp', 'Three-phase electric power']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1983 World Series', '1970 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['The Dilemma', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Apollo 13', 'EDtv', 'Cocoon', 'Ransom', 'The Dark Tower', 'The Missing', 'Cotton Candy', 'Inferno', 'The Lost Symbol', 'The Da Vinci Code', 'Backdraft', 'Rush', 'Gung Ho', 'In the Heart of the Sea', 'Parenthood', 'A Beautiful Mind', 'Far and Away', 'Cinderella Man', 'Presidential Reunion', 'Frost/Nixon', 'Splash', 'Night Shift', 'Jay-Z: Made in America', 'The Paper', 'Grand Theft Auto', 'Angels & Demons', 'Willow']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"[""Duke Blue Devils men's basketball"", 'Los Angeles Lakers', 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington', 'Skamania County']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Illinois', 'Nebraska', 'Iowa', 'Minnesota', 'Indiana', 'Wisconsin', 'South Dakota', 'Kansas', 'Missouri', 'Michigan', 'Ohio', 'North Dakota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Limonese Creole', 'Spanish Language', 'Jamaican Creole English Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Abstain,['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,Abstain,"['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Lorraine Motel'],['Memphis']
WebQTest-680,"['Manchester City F.C.', 'Club Atlético Independiente', 'Argentina national football team', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,Abstain,"['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Abstain,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Abstain,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Abstain,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,"['Georgia', 'Alabama']","['Georgia', 'Alabama']"
WebQTest-881,"['Monster House', 'Goal II: Living the Dream', ""Love Don't Cost a Thing"", 'Garfield: The Movie', 'Roll Bounce', 'Bobby', 'Underclassman', 'Chiraq', ""Ball Don't Lie"", 'The Adventures of Brer Rabbit', 'Whatever It Takes', 'Shall We Dance?', 'American Son', 'Drumline', 'Weapons', 'Drumline: A New Beat', 'A Very School Gyrls Holla-Day', 'Men in Black II', 'Even Money', 'The Killing Room', 'Day of the Dead']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,Abstain,"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['James R. Crowe', 'J. Calvin Jones', 'John C. Lester', 'John B. Kennedy', 'Frank O. McCord', 'Richard R. Reed']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,"['Michael Gambon', 'Richard Harris']","['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Michael Edwards', 'Nick Stahl', 'Dalton Abbott', 'Edward Furlong', 'Christian Bale']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,Abstain,['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,Abstain,['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,Abstain,[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['Lyttelton Timeball Station', 'Canterbury Museum, Christchurch', 'Air Force Museum of New Zealand', 'TranzAlpine', 'Cathedral Square, Christchurch', 'Christchurch Arts Centre', 'Ferrymead Heritage Park', 'International Antarctic Centre', 'Christchurch Botanic Gardens', 'Willowbank Wildlife Reserve, Christchurch']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,Abstain,['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,Abstain,['Fulham']
WebQTest-1323,"['Georgia Aquarium', 'Atlanta Symphony Orchestra', 'Margaret Mitchell House & Museum', 'CNN Center', 'World of Coca-Cola', 'Georgia World Congress Center', 'Fernbank Science Center', 'Atlanta History Center', 'Zoo Atlanta', 'Jimmy Carter Library and Museum', 'Center for Puppetry Arts', 'Woodruff Arts Center', 'Martin Luther King, Jr. National Historic Site', 'Centennial Olympic Park', 'Philips Arena', 'The Tabernacle', 'Georgia State Capitol', 'Fox Theatre', 'Fernbank Museum of Natural History']","['Atlanta Symphony Orchestra', 'Turner Field', 'Cobb Energy Performing Arts Centre', 'Four Seasons Hotel Atlanta', 'Underground Atlanta', 'Atlanta Marriott Marquis', 'Georgia World Congress Center', 'The Tabernacle', 'Peachtree Road Race', 'Georgia Aquarium', 'Georgia Dome', 'Philips Arena', 'Omni Coliseum', 'Hyatt Regency Atlanta', 'Centennial Olympic Park', 'Zoo Atlanta', 'Six Flags Over Georgia', 'Six Flags White Water', 'Atlanta Cyclorama & Civil War Museum', 'Georgia State Capitol', 'World of Coca-Cola', 'CNN Center', 'Fernbank Science Center', 'Fernbank Museum of Natural History', 'Fox Theatre', 'Woodruff Arts Center', 'Margaret Mitchell House & Museum', 'Martin Luther King, Jr. National Historic Site', 'Atlanta History Center', 'Variety Playhouse', 'Jimmy Carter Library and Museum', 'Masquerade', 'Arbor Place Mall', 'Atlanta Ballet', 'Center for Puppetry Arts', 'Atlanta Jewish Film Festival']"
WebQTest-1344,Abstain,['Missouri']
WebQTest-1370,['Paris'],['Paris']
WebQTest-1396,Abstain,"['Sebastian Shaw', 'David Prowse', 'James Earl Jones']"
WebQTest-1426,['Utrecht'],['Utrecht']
WebQTest-1455,['Brasília'],['Brasília']
WebQTest-1479,['Golfer'],['Golfer']
WebQTest-1503,['New York City'],['New York City']
WebQTest-1531,['Africa'],['Africa']
WebQTest-1555,Abstain,[None]
WebQTest-1575,"['Apache Wave', 'Nexus 7', 'Google Drive', 'Google Earth', 'Nexus Q', 'Nexus 10', 'Google Glass', 'Chromecast', 'Google Docs, Sheets, and Slides', 'Nexus One', 'Google Classroom', 'Nexus S']","['Google Classroom', 'Google Drive', 'Apache Wave', 'Google Earth', 'Google Buzz', 'Google Docs, Sheets, and Slides', 'Nexus S', 'Google Glass', 'Nexus 7', 'Nexus Q', 'Nexus 10', 'Google Maps', 'Chromecast']"
WebQTest-1603,['Tao Te Ching'],"['Zhuang Zhou', 'Tao Te Ching', 'I Ching', 'Daozang']"
WebQTest-1625,Abstain,"['Anemometer', 'Diving suit', 'Ornithopter', 'Viola organista', 'Double hull', 'Parachute', 'Triple Barrel Canon', '33-Barreled Organ', 'Aerial Screw', 'Armored car']"
WebQTest-1649,Abstain,[None]
WebQTest-1671,Abstain,['Köping']
WebQTest-1695,Abstain,[None]
WebQTest-1721,['Spanish Language'],"['Aymara language', 'Omagua dialect', 'Spanish Language', 'Ayacucho Quechua', 'Puquina Language', 'Waorani Language']"
WebQTest-1742,Abstain,"['Parliamentary system', 'Unitary state', 'Constitutional monarchy']"
WebQTest-1767,"['Martin Luther King, Jr. National Historic Site']","['Martin Luther King, Jr. National Historic Site']"
WebQTest-1791,['1440'],[None]
WebQTest-1812,['Barbados'],['Saint Michael Parish']
WebQTest-1839,['Central Time Zone'],['Central Time Zone']
WebQTest-1866,['New York'],['New York']
WebQTest-1889,['Al Gore'],['Al Gore']
WebQTest-1912,"['Pancreatic cancer', 'heart attack']","['Pancreatic cancer', 'heart attack']"
WebQTest-1937,Abstain,"['Sailor', 'Explorer']"
WebQTest-1963,['Right guard'],['Right guard']
WebQTest-1990,Abstain,['Nathan Lane']
WebQTest-2011,['Bob Marley Mausoleum'],['Bob Marley Mausoleum']
