qid,prediction,gt_label
3998,"['True', 'True', 'True']",True
4000,"['True', 'True', 'True']",True
4171,"['Abstain', 'Abstain', 'Abstain']",True
4185,"['Abstain', 'Abstain', 'Abstain']",True
4367,"['True', 'Abstain', 'Abstain']",True
4368,"['Abstain', 'True', 'True']",True
4501,"['True', 'True', 'True']",True
4510,"['Abstain', 'Abstain', 'Abstain']",True
4645,"['Abstain', 'Abstain', 'Abstain']",True
4891,"['True', 'Abstain', 'True']",True
4939,"['Abstain', 'Abstain', 'Abstain']",True
4957,"['Abstain', 'True', 'Abstain']",True
4971,"['Abstain', 'Abstain', 'Abstain']",True
4999,"['True', 'Abstain', 'True']",True
5052,"['Abstain', 'Abstain', 'Abstain']",True
5124,"['Abstain', 'True', 'Abstain']",True
5155,"['Abstain', 'Abstain', 'Abstain']",True
5156,"['Abstain', 'Abstain', 'Abstain']",True
5165,"['True', 'False', 'True']",True
5186,"['Abstain', 'Abstain', 'True']",True
5220,"['True', 'Abstain', 'Abstain']",True
5244,"['Abstain', 'Abstain', 'Abstain']",True
5251,"['Abstain', 'True', 'True']",True
5273,"['Abstain', 'Abstain', 'True']",True
5319,"['False', 'False', 'False']",True
5325,"['True', 'Abstain', 'True']",True
5327,"['True', 'True', 'True']",True
5341,"['True', 'True', 'Abstain']",True
5374,"['Abstain', 'Abstain', 'Abstain']",True
5385,"['Abstain', 'Abstain', 'True']",True
5422,"['True', 'True', 'True']",True
5485,"['Abstain', 'Abstain', 'Abstain']",True
5540,"['Abstain', 'Abstain', 'Abstain']",True
5589,"['Abstain', 'Abstain', 'Abstain']",True
5593,"['Abstain', 'Abstain', 'Abstain']",True
5663,"['Abstain', 'Abstain', 'Abstain']",False
5740,"['Abstain', 'Abstain', 'False']",False
5788,"['Abstain', 'Abstain', 'Abstain']",False
5825,"['Abstain', 'Abstain', 'Abstain']",False
5913,"['Abstain', 'False', 'Abstain']",False
5924,"['Abstain', 'Abstain', 'Abstain']",False
5944,"['False', 'False', 'False']",False
5946,"['Abstain', 'Abstain', 'Abstain']",False
6353,"['Abstain', 'Abstain', 'Abstain']",False
6360,"['Abstain', 'Abstain', 'Abstain']",False
6378,"['Abstain', 'Abstain', 'Abstain']",False
6417,"['Abstain', 'Abstain', 'Abstain']",False
6432,"['False', 'Abstain', 'False']",False
6434,"['Abstain', 'Abstain', 'Abstain']",False
6438,"['Abstain', 'False', 'Abstain']",False
6440,"['Abstain', 'Abstain', 'Abstain']",False
6485,"['False', 'Abstain', 'False']",False
6514,"['Abstain', 'False', 'Abstain']",False
6563,"['Abstain', 'Abstain', 'Abstain']",False
6666,"['Abstain', 'Abstain', 'Abstain']",False
6697,"['False', 'Abstain', 'Abstain']",False
6761,"['Abstain', 'Abstain', 'Abstain']",False
6771,"['Abstain', 'False', 'Abstain']",False
6803,"['False', 'False', 'False']",False
6811,"['Abstain', 'Abstain', 'Abstain']",False
6815,"['Abstain', 'Abstain', 'Abstain']",False
6842,"['Abstain', 'Abstain', 'Abstain']",False
6848,"['Abstain', 'Abstain', 'Abstain']",False
6857,"['False', 'False', 'Abstain']",False
6914,"['Abstain', 'Abstain', 'Abstain']",False
6928,"['Abstain', 'Abstain', 'Abstain']",False
6960,"['Abstain', 'Abstain', 'False']",False
6985,"['Abstain', 'Abstain', 'Abstain']",False
6988,"['Abstain', 'Abstain', 'Abstain']",False
6992,"['Abstain', 'Abstain', 'False']",False
7055,"['False', 'False', 'Abstain']",False
7062,"['Abstain', 'Abstain', 'Abstain']",False
10143,"['Abstain', 'Abstain', 'Abstain']",False
10182,"['Abstain', 'Abstain', 'Abstain']",False
10206,"['False', 'False', 'Abstain']",False
11786,"['Abstain', 'False', 'Abstain']",True
11869,"['Abstain', 'Abstain', 'Abstain']",True
11897,"['True', 'True', 'True']",True
11925,"['Abstain', 'Abstain', 'Abstain']",True
11962,"['True', 'True', 'True']",True
11968,"['Abstain', 'True', 'Abstain']",True
12733,"['True', 'Abstain', 'True']",True
12741,"['Abstain', 'False', 'Abstain']",True
12784,"['False', 'True', 'True']",True
12787,"['True', 'False', 'Abstain']",True
12799,"['Abstain', 'True', 'Abstain']",True
12803,"['Abstain', 'Abstain', 'Abstain']",True
12807,"['Abstain', 'Abstain', 'Abstain']",True
12815,"['True', 'True', 'True']",True
12817,"['True', 'True', 'True']",True
12868,"['Abstain', 'Abstain', 'Abstain']",False
12892,"['Abstain', 'Abstain', 'Abstain']",False
12895,"['Abstain', 'Abstain', 'Abstain']",False
12901,"['False', 'False', 'False']",False
12924,"['False', 'False', 'Abstain']",False
12926,"['False', 'Abstain', 'False']",False
12938,"['Abstain', 'Abstain', 'Abstain']",False
12942,"['Abstain', 'Abstain', 'False']",False
12972,"['False', 'False', 'False']",False
12989,"['Abstain', 'Abstain', 'Abstain']",False
