qid,correct,wrong,prediction,gt_label
20,1.0,0,"['nikolaj_lie_kaas', 'ulrich_thomsen', 'line_kruse', 'mads_mikkelsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'rob_epstein', 'todd_field', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,2.5,Error,"['1956', '1958']"
80,0,0.6666666666666666,"['don_mckellar', 'sarah_gavron']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0,0,Abstain,"['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,0.75,0.5,"['comedy', 'thriller', 'action', 'romance', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.02040816326530612,0.08163265306122448,"['kenneth_brannagh', 'jim_shores', 'ethan_coen', 'joel_coen', 'mel_gibson']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0,0.3333333333333333,"['jeff_gaylin', 'david_o_russell', 'james_gardner', 'kevin_smith']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,0,1.0,"['1951', '1956']","['1955', '1954']"
200,0,0.9999999999999999,"['rock_hudson', 'julia_roberts', 'richard_gere', 'jason_alexander', 'ralph_bellamy', 'angie_dickinson']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'action', 'crime', 'drama', 'horror', 'adventure']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.23076923076923078,0.3076923076923077,"['Alec Guinness', 'Burt Lancaster', 'Tony Curtis', 'Kay Walsh', 'Martin Stephens', 'Diana Quick', 'Leo Genn']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,5.0,"['top_five', 'head_of_state', 'cb4', 'good_hair', 'down_to_earth']",['Chris Rock']
300,0,0.42857142857142855,"['jason_isaacs', 'julian_denny', 'michael_eros_ventura']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0,1.0,"['peter_goldman', 'alberto_moravia', 'bernardo_bertolucci']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.08695652173913043,0.4782608695652173,"['charles_dickens', 'carl_foreman', 'james_l_nelson', 'dylan_mckay', 'matthew_mitchell', 'james_garner', 'wilson_crittenden', 'shawn_henry', 'william_inge', 'terence_rattigan', 'john_briley', 'charles_shyer', 'david_hare']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.2857142857142857,0.2857142857142857,"['fantasy', 'horror', 'adventure', 'drama']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.75,0.08333333333333333,"['2010', '2006', '2001', '2004', '2008', '2000', '1994', '1998', '2013', '2007']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,0.23529411764705882,0.058823529411764705,"['2002', '1997', '2001', '1991', '2007']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0,1.8333333333333335,"['peter_sarsgaard', 'wendell_pierce', 'george_mckay', 'tom_hanks', 'nyle_patricio', 'tina_fey', 'daniel_radcliffe', 'james_mcavoy', 'will_poulter', 'nicolas_cage', 'natalie_portman']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,0.6666666666666666,0.6666666666666666,"['horror', 'action', 'sci-fi', 'drama']","['Action', 'Drama', 'Crime']"
500,0,0.23076923076923078,"['david_j._schow', ""james_o'barr"", 'john_shirley']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.14285714285714285,0.7142857142857142,"['joseph_l_mankiewicz', 'john_ford', 'eliodoro_quezada', 'zach_snyder', 'vicente_minnellii', 'larry_sullivan']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['documentary', 'western', 'comedy', 'action', 'horror']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,0,0.23529411764705882,"['james_wood', 'jason_robards', 'james_gandolfini', 'ed_harris']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,1.0,0,"['action', 'crime', 'drama', 'history', 'war']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['comedy', 'biography', 'drama', 'romance', 'horror']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['christian_marquand', 'robert_altman', 'dennis_hopper', 'neil_armfield', 'tony_richardson', 'joseph_mcgrath']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,0.8,0.4,"['comedy', 'action', 'crime', 'drama', 'romance', 'adventure']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,0.2222222222222222,0.2222222222222222,"['2002', '1968', '1990', '2015', '1971', '1979', '1974', '1969']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,1.0,"['paolo_sorrentino', 'umberto_contarello']",['Paolo Sorrentino']
740,0,0.5,['English'],"['French', 'Italian']"
760,0,0.14285714285714285,['boynton_beach_club'],"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,0.16,0.6,"['julian_jarrold', 'mike_newell', 'frank_dillon', 'kevin_lasalle', 'bob_richards', 'james_gardner', 'stephen_daldry', 'geoffrey_rush', 'kevin_hutner', 'david_r_ellefsen', 'roland_emmerich', 'ed_zwick', 'stephen_spielberg', 'werner_herzog', 'jean_marc_vallee', 'jim_shores', 'mel_brooks', 'antonio_banderas', 'david_lynch']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,2.0,"['1968', '1964', '1965']",['1968']
820,0,0,Abstain,"['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.38461538461538464,0.3076923076923077,"['2010', '1988', '2006', '2011', '2000', '1994', '1998', '1992', '1993']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1978', '1977', '1980', '1970']","['1977', '1970', '1980', '1978']"
900,0.25,0.25,"['horror', 'sci-fi', 'comedy', 'drama']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['john_guillermin', 'j._lee_thompson', 'george_marshall']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
