qid,prediction,gt_label
1595,Abstain,False
1607,Abstain,False
1631,Abstain,False
1640,False,False
1696,Abstain,False
1743,Abstain,False
1770,Abstain,False
1787,Abstain,False
1890,Abstain,False
1978,Abstain,False
2094,Abstain,False
2134,Abstain,False
2184,False,False
2197,Abstain,False
2351,Abstain,False
2361,Abstain,False
2384,Abstain,False
2391,Abstain,False
2406,Abstain,False
2414,Abstain,False
2980,Abstain,False
3039,True,False
3110,Abstain,False
3127,Abstain,False
3145,Abstain,False
3219,Abstain,False
3351,Abstain,False
3386,Abstain,False
3392,Abstain,False
3452,False,False
3461,Abstain,False
3504,Abstain,False
3564,Abstain,False
3566,Abstain,False
3578,False,False
3619,Abstain,False
3625,False,False
3656,True,False
3744,Abstain,False
3759,Abstain,False
3804,Abstain,False
3816,Abstain,False
3835,Abstain,False
3839,Abstain,False
3896,Abstain,False
3907,Abstain,False
8256,Abstain,True
8268,Abstain,True
8271,Abstain,True
8311,True,True
8313,True,True
8353,Abstain,True
8433,True,True
8440,Abstain,True
8607,True,True
8662,True,True
8725,Abstain,True
8740,True,True
8756,False,True
8763,True,True
8815,True,True
8862,Abstain,True
8988,Abstain,True
9078,Abstain,True
9094,Abstain,True
9099,True,True
9112,Abstain,True
9147,Abstain,True
9161,Abstain,True
9299,True,True
9321,True,True
9388,Abstain,True
9443,Abstain,True
9476,True,True
9498,Abstain,True
9583,Abstain,True
9595,True,True
9599,Abstain,True
9657,Abstain,True
9659,Abstain,True
9681,Abstain,True
9701,Abstain,True
9713,Abstain,True
9799,True,True
9809,Abstain,True
9822,True,True
9848,True,True
9900,Abstain,True
9909,Abstain,True
9950,Abstain,True
9990,True,True
10004,Abstain,True
10059,Abstain,True
10074,Abstain,True
10108,Abstain,True
11541,Abstain,False
11611,Abstain,False
12029,Abstain,False
12046,Abstain,False
12117,True,True
