qid,prediction,gt_label
20,"['linekruse', 'ulrichthomsen', 'madsmikkelsen', 'nikolajliekaas']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,"['toddfield', 'jeffreyfriedman', 'robepstein', 'halhartley']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,['abstain'],"['1956', '1958']"
80,"['fernandomeirelles', 'johnmaybury', 'franoisgirard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,"['2011', '2007', '2002', '1999', '1986', '001', '2000', '2009', '2004', '2003', '2006', '2008']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,['abstain'],"['Action', 'Drama', 'Horror', 'Comedy']"
140,"['barrylevinson', 'nickpark', 'martincampbell', 'tonyrichardson', 'steveminer', 'anthonyminghella', 'rogerspottiswoode', 'rogerdonaldson', 'robertzemeckis', 'rolandemmerich', 'georgeogilvie', 'georgemiller', 'adriangrunberg', 'markrydell', 'peterweir', 'grahambaker', 'gillianarmstrong', 'roberttowne', 'pendensham', 'seanpenn', 'keithgordon', 'philjoanou', 'robertredford', 'brianhelgeland', 'richarddonner', 'randallwallace', 'robertrodriguez', 'gilliesmackinnon', 'grigorikozintsev', 'deansemler', 'johngielgud', 'ronhoward', 'nickcassavetes', 'luismandoki', 'francozeffirelli', 'timburstall', 'jeffstanzler', 'mnightshyamalan', 'nancymeyers', 'jodiefoster', 'michaelalmereyda', 'johnbadham', 'wimwenders', 'peterlord', 'melgibson', 'laurenceolivier', 'lewismilestone', 'kennethbranagh']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,['abstain'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,"['1954', '1955']","['1955', '1954']"
200,"['rebeccademornay', 'janefonda', 'terencestamp', 'alaindelon', 'vincentspano', 'brigittebardot']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,"['adventure', 'horror', 'crime', 'action', 'thriller', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
