qid,placeholder,placeholder,pred,label
20,,,Abstain,"['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,['hal_hartley'],"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,Abstain,"['1956', '1958']"
80,,,Abstain,"['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2003', '2005', '2007', '2004', '2000', '2009', '2006', '2008', '2001', '2002', '1999', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,Abstain,"['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,Abstain,"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1954', '1955']","['1955', '1954']"
200,,,"['brigitte_bardot', 'alain_delon', 'terence_stamp', 'vincent_spano', 'rebecca_de_mornay', 'jane_fonda']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,Abstain,"['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,"['drama', 'comedy', 'romance', 'horror', 'adventure', 'thriller', 'war']","['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,Abstain,"['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,['callum_keith_rennie'],"['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,Abstain,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['shane_connaughton', 'will_gluck', 'daniel_wallace', 'bo_goldman', 'josephine_humphreys', 'carol_sobieski', 'frederic_raphael', 'terence_rattigan', 'guy_gallo', 'alan_sillitoe', 'harold_gray', 'peter_mayle', 'whitley_strieber', 'michael_crichton', 'john_august', 'malcolm_lowry', 'michael_wadleigh', 'ronald_harwood', 'neville_smith', 'thomas_meehan', 'leslie_bricusse', 'charles_dickens']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['drama', 'crime', 'comedy', 'biography', 'adventure', 'mystery', 'music']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,Abstain,"['2010', '2004']"
400,,,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['1994', '2003', '2007', '1998', '2000', '2009', '2004', '2008', '2013']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['2007', '1992', '1995', '1991', '2009', '1977', '2006', '2001', '2002', '1979', '1999', '1981', '1983']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['nicholas_hoult', 'alyson_hannigan', 'jason_biggs', 'chris_klein', 'thomas_ian_nicholas', 'hugh_grant']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['drama', 'action', 'crime']","['action', 'drama', 'crime']"
