qid,prediction,gt_label
1595,"['False', 'False', 'False']",False
1607,"['False', 'False', 'False']",False
1631,"['False', 'False', 'False']",False
1640,"['False', 'False', 'False']",False
1696,"['False', 'False', 'False']",False
1743,"['False', 'False', 'False']",False
1770,"['False', 'False', 'False']",False
1787,"['False', 'Abstain', 'False']",False
1890,"['Abstain', 'False', 'False']",False
1978,"['Abstain', 'False', 'False']",False
2094,"['False', 'False', 'False']",False
2134,"['Abstain', 'False', 'False']",False
2184,"['False', 'False', 'False']",False
2197,"['False', 'False', 'False']",False
2351,"['Abstain', 'Abstain', 'True']",False
2361,"['Abstain', 'Abstain', 'False']",False
2384,"['False', 'False', 'False']",False
2391,"['False', 'False', 'False']",False
2406,"['Abstain', 'False', 'False']",False
2414,"['False', 'Abstain', 'False']",False
2980,"['False', 'False', 'False']",False
3039,"['False', 'False', 'False']",False
3110,"['Abstain', 'Abstain', 'Abstain']",False
3127,"['False', 'Abstain', 'False']",False
3145,"['False', 'Abstain', 'Abstain']",False
3219,"['False', 'False', 'False']",False
3351,"['False', 'False', 'False']",False
3386,"['False', 'False', 'False']",False
3392,"['False', 'False', 'False']",False
3452,"['False', 'False', 'False']",False
3461,"['Abstain', 'Abstain', 'Abstain']",False
3504,"['Abstain', 'False', 'Abstain']",False
3564,"['Abstain', 'False', 'Abstain']",False
3566,"['Abstain', 'Abstain', 'False']",False
3578,"['False', 'False', 'Abstain']",False
3619,"['False', 'False', 'False']",False
3625,"['False', 'False', 'False']",False
3656,"['False', 'False', 'False']",False
3744,"['False', 'False', 'False']",False
3759,"['False', 'Abstain', 'Abstain']",False
3804,"['Abstain', 'Abstain', 'Abstain']",False
3816,"['Abstain', 'False', 'Abstain']",False
3835,"['False', 'False', 'Abstain']",False
3839,"['Abstain', 'Abstain', 'False']",False
3896,"['Abstain', 'False', 'False']",False
3907,"['Abstain', 'Abstain', 'Abstain']",False
8256,"['True', 'True', 'True']",True
8268,"['True', 'True', 'True']",True
8271,"['Abstain', 'True', 'True']",True
8311,"['True', 'True', 'True']",True
8313,"['True', 'True', 'True']",True
8353,"['False', 'False', 'False']",True
8433,"['True', 'True', 'True']",True
8440,"['True', 'True', 'True']",True
8607,"['True', 'True', 'True']",True
8662,"['True', 'True', 'True']",True
8725,"['True', 'True', 'True']",True
8740,"['True', 'True', 'True']",True
8756,"['False', 'False', 'False']",True
8763,"['True', 'True', 'True']",True
8815,"['True', 'True', 'True']",True
8862,"['True', 'True', 'True']",True
8988,"['True', 'True', 'True']",True
9078,"['True', 'True', 'True']",True
9094,"['True', 'True', 'True']",True
9099,"['Abstain', 'True', 'True']",True
9112,"['False', 'False', 'False']",True
9147,"['True', 'True', 'True']",True
9161,"['Abstain', 'Abstain', 'Abstain']",True
9299,"['Abstain', 'True', 'True']",True
9321,"['True', 'True', 'True']",True
9388,"['True', 'True', 'True']",True
9443,"['True', 'Abstain', 'True']",True
9476,"['True', 'True', 'True']",True
9498,"['Abstain', 'Abstain', 'True']",True
9583,"['True', 'True', 'True']",True
9595,"['True', 'Abstain', 'Abstain']",True
9599,"['True', 'Abstain', 'Abstain']",True
9657,"['True', 'False', 'False']",True
9659,"['Abstain', 'False', 'False']",True
9681,"['Abstain', 'Abstain', 'Abstain']",True
9701,"['True', 'True', 'True']",True
9713,"['True', 'True', 'True']",True
9799,"['True', 'True', 'True']",True
9809,"['False', 'False', 'False']",True
9822,"['True', 'Abstain', 'True']",True
9848,"['True', 'True', 'True']",True
9900,"['False', 'Abstain', 'False']",True
9909,"['True', 'True', 'True']",True
9950,"['False', 'True', 'True']",True
9990,"['True', 'True', 'True']",True
10004,"['True', 'Abstain', 'Abstain']",True
10059,"['Abstain', 'True', 'False']",True
10074,"['False', 'False', 'False']",True
10108,"['Abstain', 'Abstain', 'Abstain']",True
11541,"['True', 'False', 'True']",False
11611,"['Abstain', 'False', 'Abstain']",False
12029,"['True', 'Abstain', 'Abstain']",False
12046,"['False', 'False', 'False']",False
12117,"['Abstain', 'True', 'True']",True
