0,'Rome Prize',['Rome Prize']
10,'Burnley F.C.',['Burnley F.C.']
20,'Germany national under-21 football team',['Germany national under-21 football team']
30,'Port Vale F.C.',['Port Vale F.C.']
40,"'Order of Kutuzov, 1st class', 'Hero of the Soviet Union'","['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
50,"'Charles Stuart, 1st Baron Stuart de Rothesay'","['Charles Stuart, 1st Baron Stuart de Rothesay']"
60,'Erkki Kaila',"['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
70,'Brescia Calcio',"['Italy national football team', 'Brescia Calcio']"
80,"'Theatre World Award', 'Tony Award for Best Featured Actor in a Play'","['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
90,"'A.C. Perugia Calcio', 'Juventus F.C.'","['Juventus F.C.', 'Italy national under-21 football team', 'A.C. Perugia Calcio']"
100,'Geoffrey Midgley',['Geoffrey Midgley']
110,'Club Atlético River Plate',['Club Atlético River Plate']
120,'John Addison Porter Prize',['John Addison Porter Prize']
130,'Club Atlético River Plate',['Club Atlético River Plate']
140,'Sakurai Prize',['Sakurai Prize']
150,'International Simón Bolívar Prize',['International Simón Bolívar Prize']
160,"'Dirac Prize', 'ICTP Dirac Medal'","['ICTP Dirac Medal', 'Dirac Prize']"
170,'Jesús Merino Delgado',"['Juan José Lucas', 'Eloísa Álvarez Oteo', 'Jesús Merino Delgado']"
180,'Millwall F.C.',"['Brentford F.C.', 'Millwall F.C.']"
190,'Bologna F.C. 1909',['Bologna F.C. 1909']
200,'John Christian',['John Christian']
210,'Leopold-von-Buch-Plaque',['Leopold-von-Buch-Plaque']
220,'George I of Great Britain',['George I of Great Britain']
230,'Theatre World Award',['Theatre World Award']
240,'Sunderland A.F.C.',['Sunderland A.F.C.']
250,'Wolverhampton Wanderers F.C.',"['Wolverhampton Wanderers F.C.', 'England national football team']"
260,'Leyton Orient F.C.',"['Queens Park Rangers F.C.', 'Leyton Orient F.C.']"
270,'Calcio Padova',"['A.C. Milan', 'Calcio Padova']"
280,'Torino Football Club',['Torino Football Club']
290,'Torino Football Club',['Torino Football Club']
300,'Charlton Athletic F.C.',['Charlton Athletic F.C.']
310,'Tottenham Hotspur F.C.',"['Tottenham Hotspur F.C.', 'England national football team']"
320,'Coventry City F.C.',['Coventry City F.C.']
330,'Vincent Astor',['Vincent Astor']
340,'Ernst-Jung-Preis für Medizin',['Ernst-Jung-Preis für Medizin']
350,'Robert Southey',['William Wordsworth']
360,'Barnsley F.C.',"['Sheffield Wednesday F.C.', 'Barnsley F.C.']"
370,'Gholam-Ali Haddad-Adel',"['Gholam-Ali Haddad-Adel', 'Hassan Rouhani']"
380,'Calder Memorial Trophy',['Calder Memorial Trophy']
390,'Brescia Calcio',"['Genoa Cricket and Football Club', 'Brescia Calcio']"
400,'Roy Romer',['Roy Romer']
410,"'Bologna F.C. 1909', 'Calcio Padova'","['Bologna F.C. 1909', 'Calcio Padova']"
420,'Bologna F.C. 1909',['Bologna F.C. 1909']
430,'York City F.C.',['York City F.C.']
440,'Order of the Red Eagle 4th Class',['Order of the Red Eagle 4th Class']
450,'Ernst von Siemens Music Prize',['Ernst von Siemens Music Prize']
460,'ACF Fiorentina',"['Italy national under-21 football team', 'ACF Fiorentina']"
470,'Grand Cross of the Civil Order of Alfonso X the Wise',['Grand Cross of the Civil Order of Alfonso X the Wise']
480,"'Order of Lenin', 'Hero of the Soviet Union', 'Gold Star'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
490,'Victoria Cross',['Victoria Cross']
500,'National Medal of Science',['National Medal of Science']
510,'Cross of the Order of Merit of the Federal Republic of Germany',['Cross of the Order of Merit of the Federal Republic of Germany']
520,'honorary doctor of the University of Girona',['honorary doctor of the University of Girona']
530,'None for 2005',"[""Arnaud d'Hauterives"", 'Jean Leclant']"
540,"'Order of Lenin', 'Gold Star', 'Hero of the Soviet Union'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
550,'Attila József Prize',['Attila József Prize']
560,'Padma Shri in literature & education',['Padma Shri in literature & education']
570,'Frank J. Selke Trophy',['Frank J. Selke Trophy']
580,"'Pulitzer Prize for History', 'Bancroft Prize', 'National Book Award for Nonfiction'","['National Book Award for Nonfiction', 'Bancroft Prize', 'Pulitzer Prize for History']"
590,'Egebergs Ærespris',['Egebergs Ærespris']
600,"""Governor General's Awards""","[""Governor General's Awards""]"
610,'Leyton Orient F.C.',['Leyton Orient F.C.']
620,'Sigmund Freud Prize',['Sigmund Freud Prize']
630,'Brescia Calcio',"['Genoa Cricket and Football Club', 'Brescia Calcio']"
640,'Inkpot Award',['Inkpot Award']
650,'Lincoln City F.C.',['Lincoln City F.C.']
660,'Lord Archibald Hamilton',['Lord Archibald Hamilton']
670,'Sigmund Freud Prize',['Sigmund Freud Prize']
680,'John Scott Medal',['John Scott Medal']
690,'Liverpool F.C.',"['Liverpool F.C.', 'Tottenham Hotspur F.C.']"
700,'Lucy Award',['Lucy Award']
710,'Swindon Town F.C.',['Swindon Town F.C.']
720,'Henry Knight Storks',['Henry Knight Storks']
730,'Francesco Paolo Perez',"['Francesco Paolo Perez', 'Agostino Depretis']"
740,'Mülheimer Dramatikerpreis',['Mülheimer Dramatikerpreis']
750,'A.C. Milan',"['A.C. Milan', 'Italy national under-21 football team', 'ACF Fiorentina']"
760,'Grand Cross of the Order of St. Raymond of Peñafort',['Grand Cross of the Order of St. Raymond of Peñafort']
770,'Osmo Antero Wiio',"['V. J. Sukselainen', 'Paavo Väyrynen', 'Johannes Virolainen', 'Harri Holkeri', 'Erkki Liikanen', 'Osmo Antero Wiio', 'Matti Louekoski']"
780,'York City F.C.',['York City F.C.']
790,'Cardiff City F.C.',"['Scotland national football team', 'Cardiff City F.C.']"
800,'John Letcher',"['Henry A. Wise', 'John Letcher']"
810,'National Association of Black Journalists Hall of Fame',['National Association of Black Journalists Hall of Fame']
820,'Unione Sportiva Lecce',['Unione Sportiva Lecce']
830,"'Rosenstiel Award', 'Sir Hans Krebs Medal'","['Sir Hans Krebs Medal', 'Rosenstiel Award']"
840,'Leyton Orient F.C.',['Leyton Orient F.C.']
850,'Hellas Verona F.C.',['Hellas Verona F.C.']
860,'Ordem do Mérito Cultural',['Ordem do Mérito Cultural']
870,"'John, Elector of Saxony'","['John, Elector of Saxony']"
880,'Glenda Farrell',['Glenda Farrell']
890,"'Brazil national football team', 'FC Inter Milan'","['FC Inter Milan', 'Brazil national football team']"
900,'Barnsley F.C.',['Barnsley F.C.']
910,'doctor honoris causa',['doctor honoris causa']
920,'Heinz Maier Liebnitz Medal',['Heinz Maier Liebnitz Medal']
930,'Josiah Willard Gibbs Lectureship',['Josiah Willard Gibbs Lectureship']
940,'University of Southampton',['University of Southampton']
950,'Italy national football team',"['Italy national football team', 'Juventus F.C.']"
960,'York City F.C.',['York City F.C.']
970,'Bharat Ratna',['Bharat Ratna']
980,'Knight third class of the order of St. Vladimir',['Knight third class of the order of St. Vladimir']
990,"'José Eduardo González Navas', 'Jordi Casas-Salat i Fossas'","['Daniel Terradellas i Redon', 'Xavier Bigatà', 'Luís Andrés García Sáez', 'Joan Rigol i Roig', 'Marià Pere i Lizàndara', 'Esteve Orriols i Sendra', 'Raimon Escudé i Pladellorens', 'Marçal Casanovas i Guerri', 'Felip Lorda', 'Joan Oliart i Pons', 'Ramon Aleu i Jornet', 'Celestino Andrés Sánchez Ramos', 'Joaquim Molins', 'Joan Reventós i Carner', 'Joan Saura Laporta', 'Joan Colomines i Puig', 'Arcadi Calzada i Salavedra', 'Ramon Camp i Batalla', 'Antoni Dalmau i Ribalta', 'Xavier Guitart i Domènech', 'Jordi Casas-Salat i Fossas', 'Enric Castellnou i Alberch', 'Josep Sánchez i Llibre', 'Dolors Montserrat i Culleré', 'Jorge Fernández Díaz', 'Isidre Gavín i Valls', 'Antoni Subirà Claus', 'Joan Hortalà', 'Josep Maria Cullell', 'Joan Ganyet i Solé', 'Jaume Camps i Rovira', 'Ferran Pont i Puntigam', 'Ferran Camps i Vallejo', 'Jordi Pujol i Soley', 'Pere Ayguadé i Ayguadé', 'Flora Sanabra i Villarroya', 'Lluís Armet i Coma', 'Roc Fuentes i Navarro', 'Josep Laporte i Salas', 'Francesc Codina i Castillo', 'Rosa Martí i Conill', 'Josep Borràs i Gené', 'Esteve Tomàs i Torrens', 'Joan Josep Martí i Ferré', 'Alejo Vidal-Quadras Roca', 'Rosa Barenys i Martorell', 'Joan Descals i Esquius', 'Joan Maria Abelló i Alfonso', 'Rosa Fabián Martínez', 'Lluís Medir i Huerta', 'Joaquim Xicoy i Bassegoda', 'Rafael Ribó', 'Max Cahner', 'José Eduardo González Navas', 'Higini Clotas i Cierco', 'Jordi Solé Tura', 'Macià Alavedra i Moner', 'Ramon Pla i Nadal']"
