qid,prediction,gt_label
1595,"['False', 'False', 'False']",False
1607,"['False', 'Abstain', 'False']",False
1631,"['False', 'Abstain', 'False']",False
1640,"['False', 'False', 'False']",False
1696,"['Abstain', 'Abstain', 'Abstain']",False
1743,"['False', 'Abstain', 'Abstain']",False
1770,"['False', 'Abstain', 'False']",False
1787,"['False', 'False', 'False']",False
1890,"['False', 'False', 'False']",False
1978,"['Abstain', 'False', 'Abstain']",False
2094,"['False', 'False', 'False']",False
2134,"['False', 'False', 'False']",False
2184,"['False', 'False', 'False']",False
2197,"['Abstain', 'False', 'Abstain']",False
2351,"['True', 'Abstain', 'True']",False
2361,"['False', 'Abstain', 'Abstain']",False
2384,"['False', 'False', 'False']",False
2391,"['False', 'False', 'False']",False
2406,"['False', 'False', 'Abstain']",False
2414,"['Abstain', 'False', 'Abstain']",False
2980,"['False', 'Abstain', 'False']",False
3039,"['Abstain', 'Abstain', 'Abstain']",False
3110,"['Abstain', 'Abstain', 'False']",False
3127,"['Abstain', 'False', 'False']",False
3145,"['Abstain', 'False', 'False']",False
3219,"['False', 'False', 'Abstain']",False
3351,"['False', 'False', 'False']",False
3386,"['False', 'False', 'False']",False
3392,"['False', 'False', 'False']",False
3452,"['False', 'False', 'False']",False
3461,"['Abstain', 'Abstain', 'Abstain']",False
3504,"['Abstain', 'Abstain', 'Abstain']",False
3564,"['False', 'False', 'False']",False
3566,"['False', 'False', 'False']",False
3578,"['False', 'False', 'False']",False
3619,"['False', 'Abstain', 'False']",False
3625,"['False', 'False', 'False']",False
3656,"['False', 'False', 'Abstain']",False
3744,"['False', 'Abstain', 'False']",False
3759,"['False', 'Abstain', 'False']",False
3804,"['Abstain', 'False', 'False']",False
3816,"['Abstain', 'False', 'Abstain']",False
3835,"['False', 'False', 'Abstain']",False
3839,"['Abstain', 'Abstain', 'Abstain']",False
3896,"['Abstain', 'Abstain', 'Abstain']",False
3907,"['False', 'Abstain', 'Abstain']",False
8256,"['True', 'True', 'True']",True
8268,"['True', 'True', 'True']",True
8271,"['True', 'Abstain', 'True']",True
8311,"['True', 'True', 'True']",True
8313,"['True', 'True', 'True']",True
8353,"['False', 'False', 'True']",True
8433,"['True', 'True', 'True']",True
8440,"['True', 'True', 'True']",True
8607,"['Abstain', 'True', 'Abstain']",True
8662,"['True', 'True', 'True']",True
8725,"['True', 'Abstain', 'True']",True
8740,"['True', 'True', 'True']",True
8756,"['False', 'False', 'False']",True
8763,"['True', 'True', 'True']",True
8815,"['True', 'True', 'True']",True
8862,"['True', 'True', 'True']",True
8988,"['Abstain', 'Abstain', 'Abstain']",True
9078,"['True', 'True', 'True']",True
9094,"['True', 'True', 'True']",True
9099,"['True', 'Abstain', 'True']",True
9112,"['True', 'True', 'True']",True
9147,"['True', 'True', 'True']",True
9161,"['Abstain', 'True', 'True']",True
9299,"['True', 'True', 'True']",True
9321,"['True', 'True', 'True']",True
9388,"['True', 'True', 'True']",True
9443,"['False', 'True', 'True']",True
9476,"['True', 'True', 'True']",True
9498,"['True', 'True', 'Abstain']",True
9583,"['True', 'True', 'True']",True
9595,"['True', 'True', 'True']",True
9599,"['Abstain', 'True', 'True']",True
9657,"['False', 'Abstain', 'False']",True
9659,"['True', 'Abstain', 'Abstain']",True
9681,"['Abstain', 'True', 'Abstain']",True
9701,"['True', 'True', 'True']",True
9713,"['True', 'True', 'True']",True
9799,"['True', 'True', 'True']",True
9809,"['True', 'True', 'Abstain']",True
9822,"['True', 'True', 'True']",True
9848,"['True', 'True', 'True']",True
9900,"['False', 'False', 'False']",True
9909,"['True', 'True', 'True']",True
9950,"['True', 'True', 'Abstain']",True
9990,"['True', 'True', 'True']",True
10004,"['True', 'True', 'Abstain']",True
10059,"['True', 'True', 'True']",True
10074,"['True', 'True', 'False']",True
10108,"['Abstain', 'True', 'Abstain']",True
11541,"['False', 'False', 'True']",False
11611,"['Abstain', 'Abstain', 'Abstain']",False
12029,"['True', 'True', 'True']",False
12046,"['False', 'False', 'False']",False
12117,"['True', 'True', 'True']",True
