qid,correct,wrong,prediction,gt_label
20,1.0,0,"['nikolaj_lie_kaas', 'mads_mikkelsen', 'line_kruse', 'ulrich_thomsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'rob_epstein', 'todd_field', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2003', '2006', '2001', '1986', '2005', '2007', '2002', '2008', '2009', '2000', '1999', '2004', '2011']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['drama', 'action', 'horror', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['ken_shapiro', 'michael_ritchie', 'william_friedkin', 'john_carpenter', 'harold_ramis', 'colin_higgins', 'george_roy_hill', 'john_landis', 'jay_sandrich', 'peter_hewitt', 'stephen_herek', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['brigitte_bardot', 'terence_stamp', 'jane_fonda', 'alain_delon', 'vincent_spano', 'rebecca_de_mornay']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['action', 'drama', 'crime', 'horror', 'thriller', 'adventure']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0.75,0,"['romance', 'western', 'action', 'drama', 'horror', 'thriller', 'comedy', 'fantasy', 'adventure']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tom_hanks', 'marlon_wayans', 'martin_milner', 'irma_p._hall', 'tony_curtis', 'burt_lancaster', 'joan_greenwood', 'susan_harrison', 'herbert_lom', 'cecil_parker', 'alec_guinness', 'claudia_cardinale', 'peter_sellers']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.857142857142857,0,"['callum_keith_rennie', 'hugh_dillon', 'greg_calderone', 'bernie_coulson', 'georgina_reilly', 'ellen_page']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['carlo_verdone', 'maria_sole_tognazzi', 'silvio_soldini']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['kelly_masterson', 'leslie_bricusse', 'whitley_strieber', 'bo_goldman', 'ronald_harwood', 'josephine_humphreys', 'michael_crichton', 'harold_gray', 'john_august', 'neville_smith', 'peter_mayle', 'thomas_meehan', 'guy_gallo', 'alan_sillitoe', 'charles_dickens', 'malcolm_lowry', 'shane_connaughton', 'terence_rattigan', 'carol_sobieski', 'frederic_raphael', 'will_gluck', 'daniel_wallace', 'michael_wadleigh']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['music', 'biography', 'drama', 'crime', 'comedy', 'mystery', 'adventure']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0.9999999999999996,0,"['1953', '1986', '2009', '2000', '1994', '1984', '2002', '1991', '1983', '1989', '2006', '2007', '1973', '1977', '1997', '2011', '1982', '1985', '1987', '1996', '1992', '2004', '1999', '1971']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2003', '1994', '1998', '1955', '2007', '2013', '2009', '2000', '2008', '2004']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1981', '1979', '2006', '2001', '1995', '1936', '1977', '1920', '2007', '2002', '1983', '1991', '1992', '2009', '1999', '1960', '1972']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['chris_klein', 'jason_biggs', 'alyson_hannigan', 'hugh_grant', 'nicholas_hoult', 'thomas_ian_nicholas']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
